date,title,neighborhood,sqft,price,bedrooms,longitude,latitude
11/14/2014 12:29,Catch this resort style Townhome! Awesome location waiting for you!,larkspur,,3525,2,-122.5362,37.9367
11/14/2014 12:25,Top Floor! Cottage style! Close to Ferry & Country Mart! Call today!,larkspur,,2595,1,-122.5362,37.9367
11/14/2014 12:20,Close to westlake mall,daly city,,1400,1,-122.480328,37.692412
11/14/2014 12:20,Cottage Style Home-FOR RENT,san bruno,,3050,2,,
11/14/2014 12:26,Chic Remodeled 2BD 1 BTH End Suite Nov. Rent Free Upon Credit Approval,sunnyvale,952,2450,2,-122.059349,37.375874
11/14/2014 12:26,"Reserve Now! Nice 2 Bedroom, 2 Bathroom Available",santa clara,1056,2495,2,-121.970402,37.324897
11/14/2014 12:24,"2X2 SPECIALSSSS!! Vaulted Ceilings,Fireplace,W/D,AC/HEAT. PETS OK!!",cupertino,1062,2955,2,-122.00607,37.332142
11/14/2014 12:28,TOP FL Large 1bd/1ba w/VIEW & LIGHT Avail Soon - Parking 50.00 Special,downtown / civic / van ness,,2950,1,-122.422113,37.782451
11/14/2014 12:28,Luxurious Living in the Hear of North Beach,north beach / telegraph hill,,3699,1,-122.414569,37.802069
11/14/2014 12:28,Nob Hill Apt - OPEN SUN NOV 16TH 11-12 PM - Great views & Location!,nob hill,,3400,1,-122.41447,37.793223
11/14/2014 12:14,Your new home awaits you,dublin / pleasanton / livermore,887,2079,2,,
11/14/2014 12:14,"2 Bedrooms Available NOW Full Size Wash/Dryer, Home Alarm + more!",fairfield / vacaville,1240,1794,2,-122.065198,38.249261
11/14/2014 12:12,A Unique One Bedroom Layout! Very Open and Inviting!,hayward / castro valley,563,1540,1,-122.096174,37.68793
11/14/2014 12:25,Escape to Your Own Invigorating Haven! Azure at Lakeville Square,petaluma,,2245,2,-122.60107,38.227663
11/14/2014 12:24,Best location in Marin! Saltwater Pool! Walk to Ferry & Shops!,larkspur,,3595,2,-122.5362,37.9367
11/14/2014 12:22,"Leave a holding deposit for a great apartment, WIN PRIZES!!!",rohnert pk / cotati,,1750,2,-122.708498,38.341814
11/14/2014 12:18,Great One Bedroom Near Stanford with Hardwood Floors,menlo park,,2595,1,-122.175608,37.446772
11/14/2014 12:17,"PALO ALTO: 2 Bd/2 BA Renovated for that ""Like New"" Feeling!",palo alto,,4500,2,-122.146902,37.429472
11/14/2014 12:16,We have a GREAT Apartment waiting for you!! Come see today!,menlo park,1154,3669,2,-122.1864,37.4396
11/14/2014 12:24,"Tennis Court, 7 Pools, & Driving Range at This Two Bedroom Apartment",cupertino,945,2995,2,,
11/14/2014 12:22,"5Br.-3Ba. Great house, location, floor plan and great schools...",san jose north,2776,4150,5,,
11/14/2014 12:19,STUNNING 5 Bedroom House in Beautiful Saratoga ~ A Must see!,saratoga,4005,6950,5,-122.013569,37.271943
11/14/2014 12:27,101 Lombard Townhouse w/ Views off Private Roof Deck ,north beach / telegraph hill,,4750,1,-122.404986,37.803833
11/14/2014 12:27,TOP Floor 1bd/1ba with VIEW/LIGHT Avail Now - Parking 50.00,downtown / civic / van ness,,2895,1,-122.422135,37.782434
11/14/2014 12:27,View unit in highly sought after building!,russian hill,,5400,1,-122.415572,37.79868
11/14/2014 12:12,Great Energy Modern Home,concord / pleasant hill / martinez,1726,2625,3,-122.0119,37.9841
11/14/2014 12:11,Great Location! Great Two Bedroom Apt.!Washer&Dryer!,walnut creek,900,1895,2,-122.05493,37.907858
11/14/2014 12:10,Available Immediately! ,fremont / union city / newark,985,2320,2,-121.999851,37.554409
11/14/2014 12:22,A HIDDEN GEM..... EXCELLENT LOCATION,santa rosa,,1705,2,-122.656775,38.4632
11/14/2014 12:14,ST HELENA WOODED HILLSIDE SETTING IN TOWN,napa county,2800,4250,3,-122.481408,38.492675
11/14/2014 12:01,Terrific Park View! Lots of storage! Walk to Ferry & Country Mart!,larkspur,,3495,2,-122.5362,37.9367
11/14/2014 12:16,3BEDROOM 1BATH TOWNHOME W/ PATIO! PG&E INCLUDED! $199 DEPOSIT!,san mateo,1267,3289,3,,
11/14/2014 12:16,"Professionally Remodeled Home, 3br 2ba * cul-de-sac Professionally Red",redwood city,1994,1375,3,,
11/14/2014 12:14,BREATHTAKING WIDE WATER VIEWS - 2 huge master suites!!,foster city,1603,3600,2,-122.27,37.5538
11/14/2014 12:18,Lovely Los Gatos 1 Bedroom! **AVAILABLE NOW!**,los gatos,,1695,1,-121.975708,37.230773
11/14/2014 12:18,Furnished Turnkey Unit in Downtown Los Gatos,los gatos,400,2425,1,-121.9806,37.221478
11/14/2014 12:18,Charming Los Gatos 2 Bedroom on Loma Alta!,los gatos,950,2795,2,-121.971204,37.220835
11/14/2014 12:26,"LARGE Studio with HARDWOOD Flrs, Updated Kitchen/Bath - Parking Avail",nob hill,,2750,,-122.423701,37.792151
11/14/2014 12:25,"Top, 2nd Floor 2BR/1BA Corner Apartment in Cole Valley Open Sun 1pm",cole valley / ashbury hts,,3750,2,-122.451296,37.764473
11/14/2014 12:22,Well Maintained Spacious 2 Br/1Ba Flat with City Light View,excelsior / outer mission,1357,3600,2,,
11/14/2014 12:09,"SUNNY, SPACIOUS ONE BEDROOM AWAITS YOU...",dublin / pleasanton / livermore,,1799,1,-121.885586,37.668111
11/14/2014 12:09,3 bedroom home for rent,san leandro,1400,2700,3,-122.134676,37.715229
11/14/2014 12:06,great location great monthly price,san leandro,,1395,1,,
11/14/2014 12:00,Month to Month No Lease,san rafael,1200,2175,2,-122.549911,38.007684
11/14/2014 11:58,** CHARMING REMODELED 2BD/2BA NEAR HISTORIC DOWNTOWN **,larkspur,1000,3050,2,,
11/14/2014 11:55,Lovely Single Story Home,healdsburg / windsor,,2775,,-122.822366,38.552051
11/14/2014 12:13,Enhance Your Surroundings in Your New 2B/2BA Home at Pescadero! Comin,redwood shores,1112,2895,2,-122.2486,37.5331
11/14/2014 12:12,Beautiful House in San Mateo,san mateo,,3995,3,-122.290599,37.562762
11/14/2014 12:10,Two Bedroom One Bath - Check This Out! Available December 15,millbrae,900,2775,2,,
11/14/2014 12:18,"Lease Your New Home Today! Great location, close to Levi's Stadium ",santa clara,1216,2744,2,-121.956769,37.39574
11/14/2014 12:18,GREAT Saratoga 3-Bedroom House with 3 Full Bathrooms,saratoga,2859,4899,3,-122.025275,37.270706
11/14/2014 12:18,Move In Now - Be Home for the Holiday's ,san jose north,1150,2531,2,,
11/14/2014 12:22,"2br Pacific Heights Classic Flat, deck, pkg - Near Union St. ~ J.Wavro",marina / cow hollow,,5500,2,-122.428538,37.796063
11/14/2014 12:20,Open House 11/15 Sat 3pm! 3-4 BR. New Kitchen. W/D hookups. ~ J.Wavro,alamo square / nopa,,5875,4,-122.43594,37.774277
11/14/2014 12:20,"Convenient Access, Fitness Ctr, Personal Trainer, Public Transport",financial district,1211,4856,2,-122.394828,37.790362
11/14/2014 12:06,Adams Pt. 1 bdrm! Great location!,oakland lake merritt / grand,835,1595,1,-122.257449,37.81424
11/14/2014 12:05,Spacious living & corner apt : eat-in kitchen : Laundry & POOL,"hercules, pinole, san pablo, el sob",734,1351,2,-122.330973,37.951929
11/14/2014 12:05,Great Features - Price - Location - Spacious Large Townhome,"hercules, pinole, san pablo, el sob",989,1495,2,-122.3369,37.9724
11/14/2014 11:55,Tree house in San Anselmo ,san anselmo,1250,3200,2,-122.580906,37.980501
11/14/2014 11:55,Some Utilities Included! 1B/1B Townhome Available For Rent! ,napa county,690,1275,1,-122.302465,38.314858
11/14/2014 11:53,Lakeport Solar Home for Rent,lake county,1640,1200,3,,
11/14/2014 12:10,Brand New Apartment Homes! ,san bruno,532,2576,1,-122.463576,37.637548
11/14/2014 12:09,Fall Living At Park Regent! 1BD/1BA Just For You !!!,mountain view,,2088,1,-122.098553,37.395403
11/14/2014 12:07,Extra large 2bd/2ba unit near Downtown ,los altos,1500,2950,2,,
11/14/2014 12:17,LIVE IN A RESORT STYLE COMMUNITY IN A PRIME SANTA CLARA LOCATION,santa clara,,2769,3,-121.956396,37.356394
11/14/2014 12:15,"Located near Apple Shuttle, Renovated, Wd Floors, WD in unit",san jose west,1050,2695,2,-121.982033,37.321306
11/14/2014 12:15,~*~*~ Fall In Love With Our Community and Downtown Sunnyvale ~*~*~,sunnyvale,1116,2995,2,-122.027034,37.376455
11/14/2014 12:20,"Charming Glen Park 2BR/2BA Flat w/Parking, Shared Yard Open Sun 3pm",glen park,,3995,2,-122.427757,37.736478
11/14/2014 12:19,Split-Level Cottage-Style 3BR/1.5BA Marina Cow Hollow Open Sun 1pm,marina / cow hollow,,5195,3,-122.427907,37.801273
11/14/2014 12:19,Beautiful!! FULLY RENOVATED **OPEN HOUSE Sat. Nov. 15th 12pm-3pm**,haight ashbury,850,3250,1,-122.440263,37.777556
11/14/2014 12:05,Ideal corner apartment :: Spacious living area and a Relaxing POOL,"hercules, pinole, san pablo, el sob",735,1350,2,-122.330973,37.951929
11/14/2014 12:03,3BD/2BA Apartment with Quartz Countertops,fremont / union city / newark,1320,2626,3,,
11/14/2014 12:03,"2 BDRM, 1 BATH, 2 blocks to BART, 1 block to E.C. Plaza",albany / el cerrito,,1995,2,,
11/14/2014 11:51,2ba Luxury Apartment - Finest Location in Napa,napa county,942,1795,2,-122.301865,38.304402
11/14/2014 11:40,Don't wait! These spacious apartment homes are going fast!,petaluma,1263,2606,2,-122.637496,38.233516
11/14/2014 11:34,Napa*Huge*5 Bed*loft*$3495 a month,napa county,3500,3495,5,-122.269684,38.290821
11/14/2014 12:02,2 Bedroom Townhome Apartment Available Now. Enclosed Back Patio!,san mateo,941,2739,2,-122.299461,37.533773
11/14/2014 12:01,THIS IS YOUR NEW HOME!! Updated Large 4 bedrooms/2.5 baths,foster city,2200,4100,4,-122.255148,37.561427
11/14/2014 12:01,Spacious 1 bedroom! Private patio and walk in closet! ,san bruno,697,2046,1,-122.462848,37.636965
11/14/2014 12:14,Downstairs 1B1B with a full size Washer & Dryer!! Move-in Now!!!,cupertino,701,2307,1,-122.023377,37.320514
11/14/2014 12:12,Large Home across from Golf Course! Near 85 and 101 in Santa Teresa!,san jose south,2347,3450,4,-121.773362,37.222418
11/14/2014 12:11,Two Bedroom With Walk-In-Closet And Washer & Dryer!,san jose west,809,2200,2,-121.950268,37.308942
11/14/2014 12:17,Large 6 bedroom 3 bath with w/d in unit and parking,alamo square / nopa,,15000,6,-122.440948,37.779505
11/14/2014 12:17,"★PHOTOS★Amenities, Hardwoods, Deck, Parking, Doorman",downtown / civic / van ness,,3500,1,,
11/14/2014 12:16,Cozy 1 bedroom 1 bath Apartment,ingleside / SFSU / CCSF,,950,1,,
11/14/2014 12:02,1 Bed/ 1 Bath available for rent,albany / el cerrito,,1200,1,,
11/14/2014 12:02,"Spacious 2x1, Top Floor, Beautiful View of the Creek! Available NOW!!",walnut creek,1000,1937,2,-122.05182,37.884212
11/14/2014 12:01,Don't Wait Call Us Today!! Ask About #501.,fremont / union city / newark,800,2282,2,-121.963571,37.539336
11/14/2014 11:33,Charming Ross Home on Shady Lane --PRANDI,kentfield / ross,1680,6000,3,-122.560889,37.966823
11/14/2014 11:33,$750 Off On First Month's Rent /Remodeled,petaluma,900,1575,2,-122.641017,38.248664
11/14/2014 11:32,Comfortable Newly Renovated Condo Unit ,sonoma,,1695,2,-122.474757,38.301759
11/14/2014 12:01,Newly updated 3 bed 2 bath single family home,palo alto,1300,4900,3,-122.1274,37.418
11/14/2014 12:01,3x3.5 Modern Townhome - Finished Basement w/ Wet Bar! ,los altos,,5995,3,-122.115183,37.399483
11/14/2014 12:01,Available mid-Nov! 1BR Townhome w/ Private Patio! Near PA & MV,los altos,800,2995,1,-122.117779,37.399022
11/14/2014 12:11,"$2,145 808 SQ FT WITH FREE PARKING! CALL NOW!",san jose downtown,808,2145,1,-121.894846,37.353364
11/14/2014 12:10,"1 MONTH FREE! 2br/1.5ba Townhouse, Washer/Dryer, Los Gatos Schools",los gatos,1170,2600,2,-121.967968,37.252443
11/14/2014 12:10,Large Townhouse Ready Now Near Apple Cupertino Schools Pool Spa,sunnyvale,1100,2895,2,-122.034675,37.34202
11/14/2014 12:15,Open House 11/15 Sat 2:45pm! Amazing 1BR + office ~ J.Wavro,alamo square / nopa,,3475,2,-122.43594,37.774277
11/14/2014 12:14,"Westwood Park 3 Bedrm,1.5 Bath ",ingleside / SFSU / CCSF,1900,4400,3,-122.456582,37.725809
11/14/2014 12:14,Adjustable Metal Bed Frame (Queen/Full/full XL/Twin/Twin XL),950 Linden Ave Ste B,,34,1,-122.407313,37.661864
11/14/2014 12:01,Woodburning Fireplace in This Huge One Bedroom Apartment Home,fairfield / vacaville,740,1308,1,-122.03402,38.279305
11/14/2014 12:01,"Affordable Two Bedroom Near Public Transportation, Shopping and Dining",walnut creek,1000,2176,2,,
11/14/2014 11:59,Beautiful 4/3 Home in Brentwood & Close to Hwy-4 Bypass & Excellent Scho,brentwood / oakley,2067,2150,4,-121.726799,37.938376
11/14/2014 11:31,Newly Renovated 2 Bedroom Upper Unit Duplex in Sausalito! --PRANDI,sausalito,,3800,2,-122.494604,37.862135
11/14/2014 11:31,Sophisticated City Living,tiburon / belvedere,1080,3450,2,-122.46074,37.881348
11/14/2014 11:31,SPECTACULAR WATER VIEWS AVAILABLE,tiburon / belvedere,1130,3398,2,-122.46074,37.881348
11/14/2014 12:00,Close to University of California San Francisco,pacifica,1015,2987,2,-122.485858,37.633649
11/14/2014 11:59,"Top floor condo, centrally located to downtown, BART, SFO, convenience",millbrae,1068,3495,2,,
11/14/2014 11:59,This Gorgeous Studio Is near the Best of Palo Alto & Mountain View,mountain view,530,2145,,-122.115988,37.404468
11/14/2014 12:10,Enjoy up to 6 weeks free! Brand new resort-style community,san jose north,702,2405,1,-121.939981,37.402134
11/14/2014 12:09,$500 off first month's rent! 1B/1B Available Today! ,san jose west,,1575,1,-121.973868,37.307217
11/14/2014 12:09,$500 Off~1BD/1BA apartment available Now! ,santa clara,,1695,1,-121.963486,37.330974
11/14/2014 12:13,2x2 Large Apartment ,ingleside / SFSU / CCSF,1090,3299,2,,
11/14/2014 12:12,Furnished 1 BR in Heart of Nob Hill- Walk to Union Square & FiDi,nob hill,,3399,1,-122.408976,37.791089
11/14/2014 12:11,Large 2bd/bath Heart of Mission Furnished Short Term Sublet,mission district,1500,4200,2,-122.413926,37.750903
11/14/2014 11:58,Worth the wait in San Ramon,danville / san ramon,,1025,1,-121.906185,37.760401
11/14/2014 11:57,Last 2 bedroom Available for IMMEDIATE move in!,alameda,975,1850,,-122.281216,37.777581
11/14/2014 11:56,2br 1.5 Bath Townhouse in El Sobrante,"hercules, pinole, san pablo, el sob",,1450,2,-122.29768,37.976823
11/14/2014 11:31,SPECTACULAR WATER VIEWS AVAILABLE,tiburon / belvedere,1130,3398,2,-122.46074,37.881348
11/14/2014 11:30,SPECTACULAR WATER VIEWS AVAILABLE,tiburon / belvedere,1130,3498,2,-122.46074,37.881348
11/14/2014 11:53,Huge & Bright 1x1 Top Floor! One Month Free Rent,san mateo,915,3330,1,-122.307115,37.549409
11/14/2014 11:52,AMAZING WATERFRONT HOMES- WORK. PLAY. LIVE. BOAT.,foster city,,2363,1,-122.256341,37.554378
11/14/2014 12:08,BRAND NEW 2 BED 2 BATH CUPERTINO SCHOOLS NEAR APPLE CUPERTINO ,cupertino,1000,2895,2,-122.034675,37.34202
11/14/2014 12:08,SHORT LEASE Brand New NEAR APPLE POOL Cupertino Schools,sunnyvale,600,2150,1,-122.034675,37.34202
11/14/2014 12:11,"Quaint, Remodeled Unit, Natural Light, Garaged Parking & Laundry",inner richmond,,2200,1,-122.473042,37.783354
11/14/2014 12:11,Nice modern 2-bedroom with garage,sunset / parkside,,2500,2,-122.502065,37.735766
11/14/2014 11:56,"Upgraded Studio, Very Spacious, Open Bar Kitchen, Walk In Closet!",walnut creek,,1635,,-122.0549,37.9053
11/14/2014 11:55,Pet-Friendly Community in Vacaville for the Active Lifestyle!,fairfield / vacaville,,1286,2,,
11/14/2014 11:30,End Unit Sausalito Townhouse with Expansive Views --PRANDI,sausalito,1322,3200,2,-122.511914,37.875514
11/14/2014 11:30,PENDING! Updated 2 Bedroom Condo In Terra Linda --PRANDI,san rafael,1077,2295,2,-122.540973,38.010432
11/14/2014 11:50,Close to Everything but Far From Ordinary ... Pescadero Apts.,redwood shores,1112,2895,2,,
11/14/2014 11:49,Amazing HUGE 3 bd,san mateo,1600,2950,3,-122.331424,37.568668
11/14/2014 12:07,Stylish Interiors in Prestigious Neighborhood,sunnyvale,700,2149,1,-122.0238,37.3764
11/14/2014 12:06,Awesome and Spacious 1BR/1BA at a beautiful community!!!,san jose south,675,1825,1,-121.900083,37.252108
11/14/2014 12:05,"Convenient location, spacious floor plan and a beautiful views",sunnyvale,900,2498,2,-122.0238,37.3764
11/14/2014 12:09,"Furnished 11th Floor w/ Bay Bridge, Alcatraz, Coit Tower & FiDi Views",russian hill,,3644,,-122.419797,37.802927
11/14/2014 12:09,Enjoy the sunset views from your living room windows! ,noe valley,,4499,2,-122.432928,37.746456
11/14/2014 11:55,"""ALL NEW"" 2Bdrm, 1Bath, 4-Plex in W. Oakland",oakland west,,1695,2,,
11/14/2014 11:55,DOWNTOWN WC ROOM FOR RENT,walnut creek,,1000,1,-122.057473,37.900424
11/14/2014 11:55,Beautiful & Lovely Home for Rent,AMERICAN CANYON,,2500,4,-122.265579,38.167573
11/14/2014 11:30,Delightful 3 Bedroom Home with Hardwood Flooring & Yard! --PRANDI,san anselmo,2200,3900,3,-122.58165,37.987646
11/14/2014 11:30,"Stunning Quality First Time Rental, A Must See! --PRANDI",mill valley,1850,4950,3,-122.514446,37.892297
11/14/2014 11:49,Beautiful One Bed / One Bath Available Now. We Pay Gas & Electricity!,san mateo,676,2130,1,-122.299418,37.53379
11/14/2014 11:49,Citihomes East Town house,foster city,1230,3200,2,-122.274404,37.558982
11/14/2014 12:04,"We pay for water, garbage and sewer.",san jose south,700,1725,1,-121.93103,37.247843
11/14/2014 12:03,"$500.00 Off Select 2 Bedroom, 1 Bath, Ready for Move In Now, Pool, Pet",milpitas,820,2100,2,-121.881369,37.42739
11/14/2014 12:07,A chic home that will make your friends jealous! 1 bed / 1 bath! ,potrero hill,,3475,1,,
11/14/2014 12:07,159 Panama Street,ingleside / SFSU / CCSF,1100,3500,3,,
11/14/2014 12:07,"MUST SEE Open House Sat 11/15 10am-12pm 1 bedrm, garage, storage",,,2495,1,-122.464462,37.752899
11/14/2014 11:53,$1800 - 2Bedroom/2.5Bath Gated Townhouse in Convenient Location ,"hercules, pinole, san pablo, el sob",1110,1800,2,-122.344,37.961931
11/14/2014 11:53,Beautiful 3 bedroom Pent house,oakland lake merritt / grand,,3000,3,-122.25228,37.811227
11/14/2014 11:30,"PENDING! Duplex, Washer/Dryer, 2 Car Garage and Large Deck --PRANDI",sausalito,,3200,2,-122.499178,37.864912
11/14/2014 11:27,A Must See! Towpath Village- Napa,napa county,1538,2850,2,,
11/14/2014 11:46,Friday Luxe Apartment Deal Specials at PARK 20! ,san mateo,,2600,,-122.2998,37.5395
11/14/2014 11:46,Cozy In-Law in Vallemar!,pacifica,400,1750,1,-122.476758,37.612594
11/14/2014 11:45,One Bedroom One Bath With Private Yard!,palo alto,650,1995,1,-122.123417,37.430094
11/14/2014 12:02,Large 1bd/1ba-Completely Renovated ,santa clara,,1595,1,-121.9517,37.345949
11/14/2014 12:02,Ah! this spacious 1x1 is ready for move-in now. Inquire today!,san jose north,721,1890,1,-121.854881,37.362105
11/14/2014 12:06,Adjustable Metal Bed Frame (Queen/Full/Full XL/Twin/Twin XL),950 Linden Ave Ste B,,32,1,-122.407313,37.661864
11/14/2014 12:06,"423 34th Avenue, #3",richmond / seacliff,750,2700,2,-122.494489,37.781144
11/14/2014 11:52,See Whats Exciting and New At Sofi Dublin! 2x2 With Washer And Dryer,dublin / pleasanton / livermore,920,2230,2,-121.936169,37.702129
11/14/2014 11:51,****2BR/2B Condo for rent****,oakland hills / mills,1123,2395,2,-122.14906,37.771356
11/14/2014 11:51,Beautiful One Bedroom Apt.! Washer&Dryer! Call Today!,walnut creek,600,1975,1,-122.054973,37.907908
11/14/2014 11:25,Live a Life of Luxury with Two Master Bedrooms!,rohnert pk / cotati,920,1654,2,-122.685595,38.3561
11/14/2014 11:24,Sunny Hamilton home,novato,1730,2975,3,-122.515594,38.061769
11/14/2014 11:44,$2000 OFF!!! Relax In Our Waterfront Community!,foster city,1050,2924,2,-122.27,37.5538
11/14/2014 11:42,"VERY CLEAN, LIKE NEW, 1 BEDROOM",SAN BRUNO,,1400,1,,
11/14/2014 11:42,A Magnificent Studio Located on the Top Floor with Washer and Dryer,belmont,500,2070,,-122.300837,37.508625
11/14/2014 12:02,"SENIOR LIVING, The Chai House II Has One Bedroom Homes Coming Soon ",san jose west,,1287,1,,
11/14/2014 12:01,Condo style living @ Willow Lake!,san jose north,732,1989,1,,
11/14/2014 12:00,Large Upstairs One Bedroom Available 12/23!!,campbell,650,1775,1,-121.965668,37.293942
11/14/2014 12:05,"27th floor ONE BEDROOM Downtown/Bay Views, Washer/Dryer in Unit",downtown / civic / van ness,879,4555,1,-122.417341,37.776414
11/14/2014 12:05,Spacious Jr 1x1 - Luxurious Amenities - Walk to Bart! SOMA,SOMA / south beach,,2299,1,-122.413034,37.777555
11/14/2014 11:50,"PARK-LIKE LANDSCAPING, POOL, SPA, FITNESS CENTER",fremont / union city / newark,,1745,1,-121.9999,37.5605
11/14/2014 11:50,Exceptional 2BR/2BA Apartment!,vallejo / benicia,778,1706,1,-122.149733,38.060886
11/14/2014 11:24,Modern 2-Story Hillside Home with Views in Belvedere Open Sun 11:30am,tiburon / belvedere,,5795,3,-122.464063,37.872397
11/14/2014 11:23,Fitch Mountain Cabin,healdsburg / windsor,,1395,2,-122.83075,38.621449
11/14/2014 11:41,"Beautiful remodeled home in Old Palo Alto, immediate move in",palo alto,1200,3975,2,-122.142713,37.430381
11/14/2014 11:40,Large 2 Bed/1 Bath Apartment Available Now. New Doggie Park Now Open!,san mateo,904,2539,2,-122.299461,37.533654
11/14/2014 11:39,Like What You See?? Then Pick Up The Phone & Give Us A Call!!,belmont,950,2452,2,-122.278004,37.524567
11/14/2014 12:00,Looking to move this weekend? CALL NOW!!,san jose downtown,1056,2640,2,-121.894846,37.353364
11/14/2014 11:59,"$800 move-in bonus, Close to Apple, ebay etc. W/D, spa, sauna, gym",santa clara,1060,2445,2,-121.972069,37.326742
11/14/2014 12:02,BAY VIEWS! Fully Furnished Designer 1 BR~ $200 DEPOSIT SPECIAL!!,russian hill,,3699,1,-122.419797,37.802927
11/14/2014 12:01,1 Bed & 1 Bath in Heart of SF! $500 Security Deposit! 1190 Mission St,SOMA / south beach,,3049,1,-122.413034,37.777555
11/14/2014 11:50,"Beautiful home, french doors in the master suite",Lodi,1349,1195,3,,
11/14/2014 11:49,"Townhouse for rent. $ 2,100.",walnut creek,,2100,2,,
11/14/2014 11:49,Newly updated home,Oakdale,1346,1325,3,-120.83655,37.765811
11/14/2014 11:22,"GORGEOUSLY UPDATED 2X2 - DESIGNER APPLIANCES, COUNTERS & PAINT",santa rosa,,2199,2,-122.672932,38.455
11/14/2014 11:20,Charming westside cottage,petaluma,650,1450,1,-122.715299,38.285816
11/14/2014 11:19,****BEAUTIFUL MEDITERRANEAN. ****,san anselmo,850,2199,1,-122.5711,37.9846
11/14/2014 11:39,"Pacifica duplex, Ocean Views 2 BD/2 BTH BIG garage! Great location!",pacifica,1000,2900,2,-122.481385,37.650534
11/14/2014 11:39,"Gorgeous 1BD/1BA, Large Floor Plan, Coming Soon!!!",mountain view,,2188,1,-122.097272,37.397796
11/14/2014 11:58,1 Bedroom or Studio - Downtown,los gatos,625,1800,1,-121.9834,37.2296
11/14/2014 11:58,"Cahill Park 793 sq ft 1BD - walk in closet, central A/C heat, & W/D",san jose downtown,793,2270,1,-121.90522,37.331539
11/14/2014 11:59,Dolores Park 2 Bed 1.5 Baths Flat On Liberty St,noe valley,,4995,2,-122.428679,37.757144
11/14/2014 11:59,Weekend Open House: Furnished 2 Bedroom w/ Utilities Included!!!,north beach / telegraph hill,,4209,2,-122.414569,37.802069
11/14/2014 11:47,"Large Single Story Home, garage, bkyd, hdwd, W/D ",oakland north / temescal,1405,2955,2,-122.267618,37.846765
11/14/2014 11:47,Nice 2 bedroom 1 ba unit,alameda,,1750,2,,
