X,Y,OBJECTID,OSHPD_ID,LICENSE_NO,LICENSEID,ADDRESSID,FACILITYID,ENTITYID,PERM_ID,FACILITY,ALIAS,ADDRESS_1,ADDRESS_2,CITY,STATE,ZIP_CODE,ZIPPLUS4,CONTACT,PHONE,FAC_TYPE,FAC_STATUS,STATUS_ID,STATUS_DAT,ADDR_DATE,TYPE,TYPE_ID,CATEGORY,CATEGRY_ID,CNTRL_CTGY,CNTRL_TYPE,LIC_BEDS,LIC_ED_LVL,EMS_TRAUMA,TEACH_HOSP,RURAL_HOSP,GCD_MTYPE,GCD_SCORE,LONGITUDE,LATITUDE,COUNTY,CNTY_FIPS,MSSA_ID,MSSA_DFN,TRACT_FIPS,TRACT,BLOCK_FIPS,SD,AD,CD,OES,FDD,HSA,SPA,RUCA,MA,UA,CAH,DSH,FQHC,FQHC_LOOK
-118.50318782824289,34.021835128786066,7458,206190294,910000048,54401,1710,897,5357,21633,FIRESIDE CONVALESCENT HOSPITAL,Fireside Conv,947 3Rd St,,Santa Monica,CA,90403,,,,2,Open,2,1950/04/21,2003/08/12,Long Term Care Facility,4,Skilled Nursing Facility,18,,,66.00000000,,,0,0,,100,-118.50320000,34.02184000,Los Angeles,037,78.2kkkk,Urban,06037701400,7014,060377014001004,23,41,30,3,NLA,11,5,0,1,1,0,0,0,0
-121.3043259106703,38.596736861161489,7459,206341499,100000131,54947,64845,1390,2,20613,CASA COLOMA HEALTH CARE CENTER,Casa Coloma Hlth Care Ctr,10410 Coloma Rd,,Rancho Cordova,CA,95670,2108,,,2,Open,2,1966/06/29,2006/11/29,Long Term Care Facility,4,Skilled Nursing Facility,18,,,138.00000000,,,0,0,,0,-121.30433900,38.59674200,Sacramento,067,139g,Urban,06067008905,89.05,060670089051007,06,10,05,2,NOR,02,0,0,1,1,0,0,0,0
-121.78321294530566,37.67660297626621,7460,206010825,140000040,52875,72225,577,1485,21281,HACIENDA CARE CENTER - LIVERMORE,Hacienda Care Ctr - Livermore,76 Fenton St,,Livermore,CA,94550,4144,,,2,Open,2,1966/06/27,2007/04/20,Long Term Care Facility,4,Skilled Nursing Facility,18,Investor Owned,Investor - Limited Liability Company,83.00000000,,,0,0,,0,-121.78322600,37.67660800,Alameda,001,1.1,Urban,06001451602,4516.02,060014516021014,09,15,10,1,CEN,05,0,0,1,1,0,0,0,0
-121.87372893166196,37.661579984171375,7461,306010834,140000043,52997,66801,1854,3611,33822,AXIS COMMUNITY HEALTH,Axis Cmty Hlth,4361 Railroad Ave,,Pleasanton,CA,94566,6611,,,3,Open,2,1977/06/05,2007/01/09,Clinic,1,Community Clinic,5,Nonprofit,Nonprofit - Corporation,0.00000000,,,0,0,,0,-121.87374200,37.66158500,Alameda,001,2k,Urban,06001450607,4506.07,060014506072007,10,20,11,1,CEN,05,0,0,1,1,0,0,0,0
-122.23118686192606,37.799164998062558,7462,106010846,140000046,53955,15,8,66,11288,ALAMEDA CO MED CTR - HIGHLAND CAMPUS,"Alameda Co Med Ctr, Highland",1411 E 31St St,,Oakland,CA,94602,,,,1,Open,2,1953/07/01,2003/08/12,Hospital,3,General Acute Care Hospital,8,Government,Public - City or County,316.00000000,Emergency - Basic,Level II Trauma Center,1,0,,100,-122.23120000,37.79917000,Alameda,001,2c,Urban,06001405700,4057,060014057001012,09,16,09,1,CEN,05,0,0,1,1,0,1,0,0
-122.12055688933764,37.7078849973527,7463,106010811,140000046,53955,11,6,66,11268,ALAMEDA CO MED CTR - FAIRMONT CAMPUS,"Alameda Co Med Ctr, Fairmont",15400 Foothill Blvd,,San Leandro,CA,94578,,,,1,Open,2,1953/07/01,2003/08/12,Hospital,3,General Acute Care Hospital,8,Government,Public - City or County,159.00000000,,,0,0,,100,-122.12057000,37.70789000,Alameda,001,2f,Urban,06001430500,4305,060014305001004,10,18,09,1,CEN,05,0,0,1,1,0,0,0,0
-122.25799685464213,37.824314996827511,7464,106010856,140000052,54767,17,9,1453,11296,KAISER FND HOSP - OAKLAND CAMPUS,"Kaiser, Oakland",280 W Macarthur Blvd,,Oakland,CA,94611,,,,1,Open,2,1946/01/01,2003/08/12,Hospital,3,General Acute Care Hospital,8,Nonprofit,Nonprofit - Corporation,341.00000000,Emergency - Basic,,1,0,,100,-122.25801000,37.82432000,Alameda,001,2b,Urban,06001404000,4040,060014040002004,09,14,09,1,CEN,05,0,0,1,1,0,0,0,0
-122.36090682640199,37.936904994871675,7465,106074093,140000052,54767,82,44,1453,17749,KAISER FND HOSP - RICHMOND CAMPUS,"Kaiser, Richmond",901 Nevin Ave,,Richmond,CA,94804,,,,1,Open,2,1995/09/07,2003/08/12,Hospital,3,General Acute Care Hospital,8,Nonprofit,Nonprofit - Corporation,50.00000000,Emergency - Basic,,0,0,,100,-122.36092000,37.93691000,Contra Costa,013,18f,Urban,06013376000,3760,060133770003004,09,14,07,1,CEN,05,0,0,1,1,0,0,0,0
-122.09336690244243,37.625925002096189,7466,106010858,140000053,54766,19,10,1453,11295,KAISER FND HOSP - HAYWARD/FREMONT,"Kaiser, Hayward",27400 Hesperian Blvd,,Hayward,CA,94545,,,,1,Open,2,1966/12/01,2003/08/12,Hospital,3,General Acute Care Hospital,8,Nonprofit,Nonprofit - Corporation,213.00000000,Emergency - Basic,,0,0,,100,-122.09338000,37.62593000,Alameda,001,2g,Urban,06001438300,4383,060014383003004,10,18,13,1,CEN,05,0,0,1,1,0,0,0,0
-121.97481692946172,37.550545000118426,7467,106014132,140000053,54766,44,23,1453,14509,KAISER FND HOSP - FREMONT,"Kaiser, Fremont",39400 Paseo Padre Pkwy,,Fremont,CA,94538,,,,1,Open,2,1996/12/01,2003/08/12,Hospital,3,General Acute Care Hospital,8,Nonprofit,Nonprofit - Corporation,106.00000000,Emergency - Basic,,0,0,,100,-121.97483000,37.55055000,Alameda,001,2l,Urban,06001441901,4419.01,060014419012020,10,20,13,1,CEN,05,0,0,1,1,0,0,0,0
-122.22513686538925,37.778744999010698,7468,306010864,140000056,26931,3522,1855,1509,33108,LA CLINICA DE LA RAZA FRUITVALE HEALTH PROJECT,La Clinica De La Raza Hlth,1500 Fruitvale Ave,,Oakland,CA,94601,,,,3,Closed,1,2007/04/21,2003/08/12,Clinic,1,Community Clinic,5,Nonprofit,Nonprofit - Corporation,0.00000000,,,0,0,,100,-122.22515000,37.77875000,Alameda,001,2d,Urban,06001407200,4072,060014062022000,09,16,09,1,CEN,05,0,0,1,1,0,0,0,0
-122.13117688647907,37.71620499673881,7469,106010887,140000066,52971,23,12,2785,11321,KINDRED HOSPITAL - SAN FRANCISCO BAY AREA,"Kindred, SF Bay",2800 Benedict Dr,,San Leandro,CA,94577,,,,1,Open,2,1962/11/13,2003/08/12,Hospital,3,General Acute Care Hospital,8,Investor Owned,Investor - Corporation,99.00000000,,,0,0,,100,-122.13119000,37.71621000,Alameda,001,2f,Urban,06001432800,4328,060014328004006,10,18,13,1,CEN,05,0,0,1,1,0,0,0,0
-122.24418685747138,37.820044996698499,7470,306011316,140000152,53991,3534,1863,155,33869,"ANN MARTIN CHILDREN'S CENTER, INC",Ann Martin Children's Ctr,1250 Grand Ave,,Piedmont,CA,94610,,,,3,Open,2,1976/09/22,2003/08/12,Clinic,1,Community Clinic,5,Nonprofit,Nonprofit - Corporation,0.00000000,,,0,0,,100,-122.24420000,37.82005000,Alameda,001,2m,Urban,06001426200,4262,060014262002012,09,16,09,1,CEN,05,0,0,1,1,0,0,0,0
-122.2263468648386,37.777954999291389,7471,306011515,140000155,34097,9464,1864,3712,33995,EAST BAY NATIVE AMERICAN HEALTH CENTER,East Bay Native American Hlth Ctr,3124 International Blvd,,Oakland,CA,94601,,,,3,Closed,1,2008/09/21,2003/09/22,Clinic,1,Community Clinic,5,Nonprofit,Nonprofit - Corporation,0.00000000,,,0,0,,100,-122.22636000,37.77796000,Alameda,001,2d,Urban,06001406202,4062.02,060014062022007,09,16,09,1,CEN,05,0,0,1,1,0,0,0,0
-122.06587989954514,37.682790996321344,7472,306012770,140000159,47047,69963,1865,2101,33136,PLANNED PARENTHOOD GOLDEN GATE - HAYWARD,Planned Parenthood Golden Gate,1866 B St,,Hayward,CA,94541,3139,,,3,Closed,1,2010/12/31,2007/03/05,Clinic,1,Community Clinic,5,Nonprofit,Nonprofit - Corporation,0.00000000,,,0,0,,0,-122.06589300,37.68279600,Alameda,001,2n,Urban,06001435300,4353,060014353001003,10,18,13,1,CEN,05,0,0,1,1,0,0,0,0
-122.26265684946198,37.867444994164458,7473,306012807,140000160,56824,3539,1866,260,34268,BERKELEY COMMUNITY HEALTH PROJECT,Berkeley Cmty Hlth Project,2339 Durant Ave,,Berkeley,CA,94704,,,,3,Open,2,1977/07/20,2003/08/12,Clinic,1,Free Clinic,7,Nonprofit,Nonprofit - Corporation,0.00000000,,,0,0,,100,-122.26267000,37.86745000,Alameda,001,2a,Urban,06001422800,4228,060014228003003,09,14,09,1,CEN,05,0,0,1,1,0,0,0,0
-121.82273690254232,37.998477951191141,7474,306072898,140000161,52085,69900,1968,2111,33430,PLANNED PARENTHOOD - ANTIOCH,Planned Parenthood,1104 Buchanan Rd Ste C10,,Antioch,CA,94509,4226,,,3,Open,2,1975/04/01,2007/03/01,Clinic,1,Community Clinic,5,Nonprofit,Nonprofit - Corporation,0.00000000,,,0,0,,0,-121.82275000,37.99848300,Contra Costa,013,18d,Urban,06013307205,3072.05,060133072041000,07,11,10,1,CEN,05,0,0,1,1,0,0,0,0
-122.25370184991591,37.868257992972921,7475,306013274,140000166,40233,69729,1867,2829,34227,"WRIGHT INSTITUTE, THE",Wright Institute,2728 Durant Ave,,Berkeley,CA,94704,1725,,,3,Closed,1,2009/02/12,2007/02/28,Clinic,1,Community Clinic,5,Nonprofit,Nonprofit - Corporation,0.00000000,,,0,0,,0,-122.25371500,37.86826300,Alameda,001,2a,Urban,06001422700,4227,060014227003002,09,14,09,1,CEN,05,0,0,1,1,0,0,0,0
-122.26156685052756,37.857124995139856,7476,306013335,140000170,49048,3543,1868,3393,34329,BERKELEY WOMEN'S HEALTH CENTER,Berkeley Women's Hlth Ctr,2908 Ellsworth St,,Berkeley,CA,94705,,,,3,Open,2,1978/03/08,2003/08/12,Clinic,1,Community Clinic,5,Nonprofit,Nonprofit - Corporation,0.00000000,,,0,0,,100,-122.26158000,37.85713000,Alameda,001,2b,Urban,06001423601,4236.01,060014236012005,09,14,09,1,CEN,05,0,0,1,1,0,0,0,0
-122.22527886476324,37.780108998739721,7477,306013346,140000171,52801,70196,1869,1509,34420,LA CLINICA DE LA RAZA DENTAL,La Clinica De La Raza Hlth,3050 E 16Th St,,Oakland,CA,94601,2319,,,3,Open,2,1978/04/21,2007/03/08,Clinic,1,Community Clinic,5,Nonprofit,Nonprofit - Corporation,0.00000000,,,0,0,,0,-122.22529200,37.78011400,Alameda,001,2d,Urban,06001406202,4062.02,060014062021011,09,16,09,1,CEN,05,0,0,1,1,0,0,0,0
-122.22537986516726,37.778980998586604,7478,306013347,140000172,53011,70198,1870,4107,34395,CASA DEL SOL,Casa Del Sol,1501 Fruitvale Ave,,Oakland,CA,94601,2322,,,3,Open,2,1978/05/06,2007/03/08,Clinic,1,Community Clinic,5,Nonprofit,Nonprofit - Corporation,0.00000000,,,0,0,,0,-122.22539300,37.77898600,Alameda,001,2d,Urban,06001406202,4062.02,060014062022000,09,16,09,1,CEN,05,0,0,1,1,0,0,0,0
-122.08736686217459,37.99037497107394,7479,206073349,140000173,53240,1278,676,4874,20077,MUIR SENIOR CARE,Muir Senior Care,1790 Muir Rd,,Martinez,CA,94553,,,,2,Open,2,1969/01/01,2003/08/12,Long Term Care Facility,4,Skilled Nursing Facility,18,,,96.00000000,,,0,0,,100,-122.08738000,37.99038000,Contra Costa,013,18i,Urban,06013321101,3211.01,060133211011006,07,11,07,1,CEN,05,0,0,1,1,0,0,0,0
-122.07015687715777,37.878201978847336,7480,206073366,140000174,55041,61755,677,4845,24830,KINDRED TRANSITIONAL CARE & REHABILITATION-WALNUT CREEK,Kindred Transitional Care,1224 Rossmoor Pkwy,,Walnut Creek,CA,94595,2501,,,2,Open,2,1972/06/01,2006/10/11,Long Term Care Facility,4,Skilled Nursing Facility,18,,,180.00000000,,,0,0,,0,-122.07017000,37.87820700,Contra Costa,013,18j,Urban,06013342000,3420,060133420003011,07,15,10,1,CEN,05,0,0,1,1,0,0,0,0
-122.17753487447219,37.766332995930085,7481,306013441,140000178,47049,98773,1871,2101,33154,PLANNED PARENTHOOD GOLDEN GATE - EASTMONT,Planned Parenthood Golden Gate,7200 Bancroft Ave,,Oakland,CA,94605,,,,3,Closed,1,2010/12/31,2008/12/15,Clinic,1,Community Clinic,5,Nonprofit,Nonprofit - Corporation,0.00000000,,,0,0,,0,-122.17754800,37.76633800,Alameda,001,2d,Urban,06001408600,4086,060014086001007,09,16,09,1,CEN,05,0,0,1,1,0,0,0,0
-122.20224586461023,37.807882994918522,7482,306013623,140000185,35236,69901,1872,323,34019,EAST BAY AGENCY FOR CHILDREN - OAKLAND,East Bay Agcy For Children,2540 Charleston St,,Oakland,CA,94602,2508,,,3,Closed,1,2009/02/02,2007/03/01,Clinic,1,Community Clinic,5,Nonprofit,Nonprofit - Corporation,0.00000000,,,0,0,,0,-122.20225900,37.80788800,Alameda,001,2m,Urban,06001406700,4067,060014067001002,09,16,09,1,CEN,05,0,0,1,1,0,0,0,0
-122.02634387555408,37.95713996859871,7483,206073625,140000186,55471,66853,678,2860,24412,SAN MIGUEL VILLA,San Miguel Villa,1050 San Miguel Rd,,Concord,CA,94518,2094,,,2,Open,2,1979/02/15,2007/01/09,Long Term Care Facility,4,Skilled Nursing Facility,18,,,190.00000000,,,0,0,,0,-122.02635700,37.95714500,Contra Costa,013,18c,Urban,06013337200,3372,060133372003000,07,11,10,1,CEN,05,0,0,1,1,0,0,0,0
-122.24924586025475,37.791930999726844,7484,306013628,140000189,50722,67017,1873,4107,34276,SAN ANTONIO NEIGHBORHOOD HEALTH CENTER,San Antonio Neighborhood Hlth Ctr,1030 International Blvd,,Oakland,CA,94606,3730,,,3,Open,2,1978/02/01,2007/01/10,Clinic,1,Community Clinic,5,Nonprofit,Nonprofit - Corporation,0.00000000,,,0,0,,0,-122.24925900,37.79193600,Alameda,001,2c,Urban,06001405400,4054,060014054003004,09,16,09,1,CEN,05,0,0,1,1,0,0,0,0
-122.26999884984674,37.848762995786998,7485,306013630,140000191,50716,66810,1874,3394,34463,LIFELONG DENTAL CARE,Lifelong Dental,1860 Alcatraz Ave,,Berkeley,CA,94703,2715,,,3,Open,2,1979/02/06,2007/01/09,Clinic,1,Community Clinic,5,Nonprofit,Nonprofit - Corporation,0.00000000,,,0,0,,0,-122.27001200,37.84876800,Alameda,001,2a,Urban,06001423901,4239.01,060014239012014,09,14,09,1,CEN,05,0,0,1,1,0,0,0,0
-122.29477583971585,37.905828993255803,7486,306074047,140000193,49111,66144,1978,3056,32123,WEST COAST CHILDRENS CLINIC,West Coast Childrens Ctr,545 Ashbury Ave,,El Cerrito,CA,94530,3220,,,3,Closed,1,2011/12/20,2006/12/27,Clinic,1,Community Clinic,5,Nonprofit,Nonprofit - Corporation,0.00000000,,,0,0,,0,-122.29478900,37.90583400,Contra Costa,013,18g,Urban,06013389100,3891,060133891001000,07,14,10,1,CEN,05,0,0,1,1,0,0,0,0
-121.80516890587822,37.98089595075016,7487,206073641,140000199,55059,64756,680,1600,20060,LONE TREE CONVALESCENT HOSPITAL,Lone Tree Convalescent,4001 Lone Tree Way,,Antioch,CA,94509,6232,,,2,Open,2,1968/12/05,2006/11/29,Long Term Care Facility,4,Skilled Nursing Facility,18,,,99.00000000,,,0,0,,0,-121.80518200,37.98090100,Contra Costa,013,18e,Urban,06013355101,3551.01,060133551011097,07,11,10,1,CEN,05,0,0,1,1,0,0,0,0
-122.33534682794605,37.955531991562211,7488,206073644,140000202,53349,72211,681,1140,20040,VALE HEALTHCARE CENTER,Vale Hlthcare Ctr,13484 San Pablo Ave,,San Pablo,CA,94806,3904,,,2,Open,2,1968/07/16,2007/04/20,Long Term Care Facility,4,Skilled Nursing Facility,18,,,202.00000000,,,0,0,,0,-122.33536000,37.95553700,Contra Costa,013,18f,Urban,06013369001,3690.01,060133690012021,09,14,07,1,CEN,05,0,0,1,1,0,0,0,0
-122.27039685592848,37.79897499991575,7489,306013648,140000206,49072,3557,1875,192,34649,ASIAN COMMUNITY MENTAL HEALTH SERVICES,Asian Cmty Mental Hlth Svcs,310 8Th St,Ste 201,Oakland,CA,94607,,,,3,Open,2,1980/09/29,2003/08/12,Clinic,1,Community Clinic,5,Nonprofit,Nonprofit - Corporation,0.00000000,,,0,0,,100,-122.27041000,37.79898000,Alameda,001,2c,Urban,06001403000,4030,060014030002012,09,16,09,1,CEN,05,0,0,1,1,0,0,0,0
-121.75514694861377,37.676044974254843,7490,306013649,140000207,53968,3558,1876,3611,34725,AXIS COMMUNITY HEALTH,Axis Cmty Hlth,3311 Pacific Ave,,Livermore,CA,94550,,,,3,Open,2,1981/08/24,2003/08/12,Clinic,1,Community Clinic,5,Nonprofit,Nonprofit - Corporation,0.00000000,,,0,0,,100,-121.75516000,37.67605000,Alameda,001,1.2,Rural,06001451501,4515.01,060014515011015,09,15,10,1,CEN,05,0,0,1,1,0,0,0,0
-122.34301562597872,37.961612391635498,7491,306073651,140000209,49120,123824,1969,5355,34634,SAN PABLO DIALYSIS,San Pablo Dialysis,14020 San Pablo Ave,,San Pablo,CA,94806,,,,3,Open,2,1980/04/25,2010/01/25,Clinic,1,Chronic Dialysis Clinic,4,,,0.00000000,,,0,0,,100,-122.34302880,37.96161740,Contra Costa,013,18f,Urban,06013369001,3690.01,060133690012001,09,14,07,1,CEN,05,0,0,1,1,0,0,0,0
-122.25827682294998,38.101044973619032,7492,406482273,010000234,148,7371,4477,2678,45210,"STAFF BUILDERS SERVICES, INC.",Staff Builders Svcs,301 Georgia St,Ste 300,Vallejo,CA,94590,,,,4,Closed,1,2001/10/31,2003/08/12,Home Health Agency/Hospice,2,Home Health Agency,9,Investor Owned,Investor - Corporation,0.00000000,,,0,0,,100,-122.25829000,38.10105000,Solano,095,204,Urban,06095250900,2509,060952509002009,02,07,07,1,NOR,03,0,0,1,1,0,0,0,0
-122.66219671762767,38.464614974124707,7493,406494034,010000243,51262,7394,4492,1268,46752,"HOME HEALTH CARE, INC - SANTA ROSA",Home Hlth Care,4983 Sonoma Hwy,Ste E,Santa Rosa,CA,95409,,,,4,Open,2,1992/06/09,2003/08/12,Home Health Agency/Hospice,2,Home Health Agency,9,,,0.00000000,,,0,0,,100,-122.66221000,38.46462000,Sonoma,097,210.1,Urban,06097152501,1525.01,060971525013003,02,07,06,1,NOR,03,0,0,1,1,0,0,0,0
-123.3464074984666,39.389504955166046,7494,406234015,010000256,31181,75906,4075,3098,41395,ADVENTIST HLTH HOME CARE AND HOSPICE SVCS-MENDO CTY,Adventist Hlth/Home Care Svcs,1712D S Main St,,Willits,CA,95490,4405,,,4,Closed,1,2007/09/09,2007/06/14,Home Health Agency/Hospice,2,Home Health Agency,9,Nonprofit,Nonprofit - Corporation,0.00000000,,,0,0,,0,-123.34642100,39.38951000,Mendocino,045,91,Rural,06045010700,107,060450107006024,02,01,01,1,NOR,01,0,1,0,1,0,0,0,0
-122.73117670680563,38.470864979021506,7495,406494040,010000259,13398,7396,4493,1453,41392,KAISER FOUNDATION HOSPITAL HOME HEALTH-SANTA ROSA,Kaiser Home Hlth,401 Bicentennial Way,,Santa Rosa,CA,95403,,,,4,Closed,1,2004/12/14,2003/08/12,Home Health Agency/Hospice,2,Home Health Agency,9,Nonprofit,Nonprofit - Corporation,0.00000000,,,0,0,,100,-122.73119000,38.47087000,Sonoma,097,210.1,Urban,06097152802,1528.02,060971528023000,02,07,06,1,NOR,03,0,0,1,1,0,0,0,0
-122.72457990698877,38.47642027791229,7496,406494092,010000259,55153,124231,5146,1453,48795,KAISER FOUNDATION HOSPITAL HOME HEALTH -SANTA ROSA,Kaiser Home Hlth,3550 Round Barn Blvd,Ste 112,Santa Rosa,CA,95403,,,,4,Open,2,2009/12/15,2010/01/26,Home Health Agency/Hospice,2,Home Health Agency,9,Nonprofit,Nonprofit - Corporation,0.00000000,,,0,0,,97,-122.72459320,38.47642530,Sonoma,097,210.1,Urban,06097152400,1524,060971524003092,02,07,06,1,NOR,03,0,0,1,1,0,0,0,0
-122.79343369195331,38.5157579801918,7497,406494042,010000262,38892,61488,4494,725,41424,"CRESCENT HEALTHCARE, INC.",Crescent Healthcare,675 Aviation Blvd Ste A,Ste A,Santa Rosa,CA,95403,1025,,,4,Closed,1,2009/04/01,2006/10/05,Home Health Agency/Hospice,2,Home Health Agency,9,,,0.00000000,,,0,0,,0,-122.79344700,38.51576300,Sonoma,097,210.1,Urban,06097152702,1527.02,060971527022011,02,01,06,1,NOR,03,0,0,1,0,0,0,0,0
-122.12886012787149,38.218737555355212,7498,406484017,010000264,55157,135694,4479,1851,41521,ALTAIR PHARMACY & HEALTH SERVICES,Altair Health Svcs,364 Pittman Rd,Ste 9,Fairfield,CA,94534,,,,4,Open,2,1993/08/09,2010/09/02,Home Health Agency/Hospice,2,Home Health Agency,9,,,0.00000000,,,0,0,,100,-122.12887330,38.21874260,Solano,095,203.1,Rural,06095252202,2522.02,060952522021001,05,08,10,1,NOR,03,0,0,1,0,0,0,0,0
-124.19622083098581,41.753046060062836,7499,406084002,010000265,54296,135544,3542,2738,41641,SUTTER COAST HOME CARE,Sutter Coast Home Care,983 3Rd St,,Crescent City,CA,95531,,,,4,Open,2,1993/09/01,2010/09/01,Home Health Agency/Hospice,2,Home Health Agency,9,Nonprofit,Nonprofit - Corporation,0.00000000,,,0,0,,100,-124.19623480,41.75305120,Del Norte,015,19,Rural,06015000101,1.01,060150001011055,04,01,01,1,NOR,01,0,1,0,1,0,0,0,0
