,neighborhood,title,price,bedrooms,pid,longitude,subregion,link,latitude,sqft,month,day,year,blockfips,countyfips,county,tractfips
43,richmond / seacliff,Cute & Cozy One Bedroom Garden in-law,1250.0,1.0,4076775017,,SF,/sfc/apa/4076775017.html,,300.0,Sep,18,2013,,,,
44,laurel hts / presidio,4 Bedroom in an AWESOME location in the Park,4195.0,4.0,4075860449,-122.456639,SF,/sfc/apa/4075860449.html,37.795237,1390.0,Sep,18,2013,060750601001132,06075,San Francisco,06075060100
45,downtown / civic / van ness,"One Bedroom Apartment Downtown, Pet Friendly! #402",1745.0,1.0,4075809702,-122.41282700000001,SF,/sfc/apa/4075809702.html,37.785087,,Sep,18,2013,060750123011005,06075,San Francisco,06075012301
46,Candlestick Point,Bright Spacious Condo w/ 2 Deeded Parking,2395.0,2.0,4046069088,-122.389669,SF,/sfc/apa/4046069088.html,37.711104999999996,1337.0,Sep,18,2013,060750610001004,06075,San Francisco,06075061000
47,downtown / civic / van ness,HURRY..FOX PLAZA SPECIAL~1/2 DEPOSIT~GORGEOUS SF VIEWS!!!!,1999.0,,4075853919,-122.417402,SF,/sfc/apa/4075853919.html,37.776619000000004,,Sep,18,2013,060750176014000,06075,San Francisco,06075017601
48,lower nob hill,I WANT THIS APARTMENT!!BRAND NEW RENOVATION!!Trendy neighborhood,2195.0,,4075750309,-122.413425,SF,/sfc/apa/4075750309.html,37.788018,,Sep,18,2013,060750121001002,06075,San Francisco,06075012100
49,nob hill,3 BR Charming Spacious Nob Hill Apartment,6900.0,3.0,4026383635,-122.446974,SF,/sfc/apa/4026383635.html,37.788185999999996,,Sep,18,2013,060750133002006,06075,San Francisco,06075013300
50,lower pac hts,8th Floor Corner 2/2 Open Bright Spacious Floorplan Priv. Balcony Pets,3900.0,2.0,4075813472,-122.424858,SF,/sfc/apa/4075813472.html,37.786196000000004,1200.0,Sep,18,2013,060750155001000,06075,San Francisco,06075015500
51,laurel hts / presidio,ADA Accessible 2 Bedroom Home Available for Move In,2850.0,2.0,4075839829,-122.48113300000001,SF,/sfc/apa/4075839829.html,37.790471999999994,1010.0,Sep,18,2013,060750601001020,06075,San Francisco,06075060100
52,downtown / civic / van ness,CITY LIVING FURNISHED 1 BED 1 BATH! PARKING! ROOF DECK! HARDWOOD!,3000.0,1.0,4065372764,,SF,/sfc/apa/4065372764.html,,,Sep,18,2013,,,,
53,russian hill," RUSSIAN HILL LUXURY CONDO! 3 BED 3 BATH! PKG! DAWN CUSULOS, AMSI",7950.0,3.0,4067923709,-122.413074,SF,/sfc/apa/4067923709.html,37.797125,,Sep,18,2013,060750108002002,06075,San Francisco,06075010800
54,potrero hill,Bright Spacious Garden Home with Views! - ReLISTO ,4500.0,2.0,4050726735,,SF,/sfc/apa/4050726735.html,,,Sep,18,2013,,,,
55,SOMA / south beach,Park Terrace: 325 Berry St. #614,3350.0,1.0,4075728049,,SF,/sfc/apa/4075728049.html,,680.0,Sep,18,2013,,,,
56,hayes valley,HAYES VALLEY FABULOUS FURNISHED 2 BED 2 BATH CONDO! AMAZING SPACE! PKG!,4500.0,2.0,4056333413,,SF,/sfc/apa/4056333413.html,,,Sep,18,2013,,,,
57,ingleside / SFSU / CCSF,Furnished Luxury Apartment Walking Distance to Whole Foods Market,5200.0,3.0,4068140340,-122.45614499999999,SF,/sfc/apa/4068140340.html,37.722762,1500.0,Sep,18,2013,060750312012003,06075,San Francisco,06075031201
58,ingleside / SFSU / CCSF,Furnished Luxury Apartment  Walking Distance to Whole Foods Market,5200.0,3.0,4069527772,-122.45614499999999,SF,/sfc/apa/4069527772.html,37.722762,1500.0,Sep,18,2013,060750312012003,06075,San Francisco,06075031201
59,ingleside / SFSU / CCSF,Furnished Luxury Apartment within Walking Distance to Whole Foods Mark,5200.0,3.0,4075833130,-122.45614499999999,SF,/sfc/apa/4075833130.html,37.722762,1500.0,Sep,18,2013,060750312012003,06075,San Francisco,06075031201
60,downtown / civic / van ness,Rent NOW! Stainless Steel and In Unit Washer/Dryer!  Brand NEW! NEMA,2506.0,,4075650703,-122.41718200000001,SF,/sfc/apa/4075650703.html,37.776286999999996,476.0,Sep,18,2013,060750176014002,06075,San Francisco,06075017601
61,ingleside / SFSU / CCSF,Furnished Luxury Apartment  Walking Distance to Whole Foods Market,5200.0,3.0,4070330851,-122.45614499999999,SF,/sfc/apa/4070330851.html,37.722762,1500.0,Sep,18,2013,060750312012003,06075,San Francisco,06075031201
62,north beach / telegraph hill,"1 Avail. Top Floor, lots of sun light with Courtyard Setting Only 1 ",4500.0,2.0,4075828081,-122.41033,SF,/sfc/apa/4075828081.html,37.806123,930.0,Sep,18,2013,060750101001019,06075,San Francisco,06075010100
63,SOMA / south beach,Portside Jr One Bedroom ,2500.0,1.0,4058978510,,SF,/sfc/apa/4058978510.html,,550.0,Sep,18,2013,,,,
64,inner sunset / UCSF,$2700- ATTN PRO.1200sf FLAT Bright& Ready,2700.0,2.0,4075715787,-122.4836,SF,/sfc/apa/4075715787.html,37.7593,1200.0,Sep,18,2013,060750326022007,06075,San Francisco,06075032602
65,pacific heights,Art Deco Doorman Apartment  Building with Golden Gate Views ~ J.Wavro,4700.0,1.0,4074740396,-122.431634,SF,/sfc/apa/4074740396.html,37.794684000000004,,Sep,17,2013,060750132001000,06075,San Francisco,06075013200
66,lower pac hts,Spacious Junior One Bedroom with City Views ~ J.Wavro,2800.0,1.0,4074738515,-122.42504699999999,SF,/sfc/apa/4074738515.html,37.78713,,Sep,17,2013,060750152001005,06075,San Francisco,06075015200
67,SOMA / south beach,2/2 Bath Condo w/ Balcony in Doorman Bldg ~ J.Wavro,5500.0,2.0,4074736985,-122.38984599999999,SF,/sfc/apa/4074736985.html,37.783609000000006,,Sep,17,2013,060750615006006,06075,San Francisco,06075061500
68,SOMA / south beach,Large 2bd/2ba in Bridgeview. Views of Bay-Bridge-City ,4850.0,2.0,4042724348,-122.39118,SF,/sfc/apa/4042724348.html,37.787455,1223.0,Sep,17,2013,060750615004010,06075,San Francisco,06075061500
69,marina / cow hollow,Luxury furnished Marina top floor flat. ~ J.Wavro,7700.0,2.0,4074735098,-122.434973,SF,/sfc/apa/4074735098.html,37.802848,,Sep,17,2013,060750126022011,06075,San Francisco,06075012602
70,mission district,Bright Loft in the Mission,3500.0,1.0,4065421984,-122.40915700000001,SF,/sfc/apa/4065421984.html,37.761817,815.0,Sep,17,2013,060750228011015,06075,San Francisco,06075022801
71,pacific heights, Bay View Top Floor Furnished Condo with Private Deck ~ J.Wavro,12500.0,2.0,4074733315,-122.43695,SF,/sfc/apa/4074733315.html,37.795949,,Sep,17,2013,060750130004002,06075,San Francisco,06075013000
72,SOMA / south beach,Designer Warehouse Loft - Large 1 bed 1 bath ~ J.Wavro,4500.0,1.0,4074731308,-122.407871,SF,/sfc/apa/4074731308.html,37.782751,,Sep,17,2013,060750176011007,06075,San Francisco,06075017601
73,SOMA / south beach,Soma Grand - Free Housekeeping every 2 weeks! City Skyline Views ~ J.W,3995.0,2.0,4074724144,-122.41315800000001,SF,/sfc/apa/4074724144.html,37.777457,,Sep,17,2013,060750176013001,06075,San Francisco,06075017601
74,nob hill,Nob Hill One bedroom with doorman and valet parking. Pet ok ~ J.Wavro,3300.0,1.0,4074722449,-122.41447,SF,/sfc/apa/4074722449.html,37.793223,,Sep,17,2013,060750112002002,06075,San Francisco,06075011200
75,noe valley,Beautiful furnished home in Noe Valley. ~ J.Wavro,7500.0,3.0,4074720674,-122.433315,SF,/sfc/apa/4074720674.html,37.742495,,Sep,17,2013,060750216001014,06075,San Francisco,06075021600
76,mission district,Just a few blocks from the heart of The Mission - FULLY-FURNISHED,2600.0,1.0,4033313840,-122.41748700000001,SF,/sfc/apa/4033313840.html,37.765183,746.0,Sep,18,2013,060750177002038,06075,San Francisco,06075017700
77,SOMA / south beach,Tri-Level Loft - Amzing layout with parking!,4900.0,1.0,4071295844,,SF,/sfc/apa/4071295844.html,,1505.0,Sep,18,2013,,,,
78,SOMA / south beach,Deserve To Live Your Best At Channel Mission Bay!,3249.0,,4076466331,-122.389948,SF,/sfc/apa/4076466331.html,37.773953999999996,549.0,Sep,18,2013,060750607001028,06075,San Francisco,06075060700
79,laurel hts / presidio,"Modern. Built in 99'  2 bdr/2 bath, pkg included",3200.0,2.0,4076480721,-122.449,SF,/sfc/apa/4076480721.html,37.781939,,Sep,18,2013,060750157003003,06075,San Francisco,06075015700
80,lower pac hts,Large Court Yard View Studio Oct. 18th ,2942.0,,4076457950,-122.43563200000001,SF,/sfc/apa/4076457950.html,37.785012,600.0,Sep,18,2013,060750155002002,06075,San Francisco,06075015500
81,SOMA / south beach,Time for a new apartment? Come see what 77 Bluxome has to offer!,2190.0,,4076415427,,SF,/sfc/apa/4076415427.html,,,Sep,18,2013,,,,
82,lower nob hill,Soar on top of SF in this Large 1 BR on the highest floor! Great Views,3130.0,1.0,4076404590,,SF,/sfc/apa/4076404590.html,,730.0,Sep,18,2013,,,,
83,lower nob hill,Beautifully Remodeled Studio w/ Granite Counters & Hardwood!,1995.0,,4076449249,-122.41499499999999,SF,/sfc/apa/4076449249.html,37.787454,,Sep,18,2013,060750121001002,06075,San Francisco,06075012100
84,SOMA / south beach,1 Bedroom with hardwood floors!,2990.0,1.0,4076385313,-122.39305,SF,/sfc/apa/4076385313.html,37.777138,778.0,Sep,18,2013,060750607001005,06075,San Francisco,06075060700
85,pacific heights,Broadway Towers *AMSI* Call Scott,6500.0,2.0,4076459593,,SF,/sfc/apa/4076459593.html,,1400.0,Sep,18,2013,,,,
86,SOMA / south beach,Spacious Floorplan,4222.0,2.0,4076455573,,SF,/sfc/apa/4076455573.html,,1095.0,Sep,18,2013,,,,
87,richmond / seacliff,Central Richmond Dist Single Family Home ~ J.Wavro,4750.0,4.0,4075417101,-122.48847099999999,SF,/sfc/apa/4075417101.html,37.772374,,Sep,18,2013,060750478011000,06075,San Francisco,06075047801
88,ingleside / SFSU / CCSF,"4 Closets, Balcony, Parking, Pool and More",,,4048856834,-122.493398,SF,/sfc/apa/4048856834.html,37.714652,510.0,Sep,18,2013,060750604001011,06075,San Francisco,06075060400
89,western addition,Newly remodeled Apartment With Large Balcony! Avail. Now!,2725.0,1.0,4075415345,-122.432681,SF,/sfc/apa/4075415345.html,37.78317,699.0,Sep,18,2013,060750159002006,06075,San Francisco,06075015900
90,north beach / telegraph hill,Sunny One Bedroom Flat with City View,2675.0,1.0,4075414998,-122.405371,SF,/sfc/apa/4075414998.html,37.79996,,Sep,18,2013,060750104004003,06075,San Francisco,06075010400
91,SOMA / south beach,Walking distance to everything!!!,3075.0,1.0,4075408412,,SF,/sfc/apa/4075408412.html,,565.0,Sep,18,2013,,,,
92,western addition,View! View! View! Renovated Penthouse with Balcony and Fireplace.,2899.0,1.0,4075406688,-122.432681,SF,/sfc/apa/4075406688.html,37.78317,660.0,Sep,18,2013,060750159002006,06075,San Francisco,06075015900
93,financial district,1 bedroom plus Den in Doorman Bldg,3300.0,1.0,4047152565,-122.398977,SF,/sfc/apa/4047152565.html,37.786209,,Sep,18,2013,060750615001048,06075,San Francisco,06075061500
94,SOMA / south beach,1 bedroom plus Den in Doorman Bldg,3300.0,1.0,4021860715,-122.398977,SF,/sfc/apa/4021860715.html,37.786209,,Sep,18,2013,060750615001048,06075,San Francisco,06075061500
95,russian hill,1 bedroom with great views - doorman building ~ J.Wavro,4300.0,1.0,4075402126,-122.415572,SF,/sfc/apa/4075402126.html,37.79868,,Sep,18,2013,060750103003005,06075,San Francisco,06075010300
96,downtown / civic / van ness,"1 Bed, 1 Bath - Condo at Opera Plaza",2800.0,1.0,4075285410,,SF,/sfc/apa/4075285410.html,,558.0,Sep,18,2013,,,,
97,inner sunset / UCSF,Reserve this top-floor home with fireplace now before it's gone,2815.0,1.0,4074272324,-122.46015700000001,SF,/sfc/apa/4074272324.html,37.753738,,Sep,17,2013,060750301022004,06075,San Francisco,06075030102
98,899 Pine Street - Nob Hill,Penthouse 2x2 ♦ 19th floor ♦ Bay View ♦,7595.0,2.0,4074266125,,SF,/sfc/apa/4074266125.html,,,Sep,17,2013,,,,
99,SOMA / south beach,Parkside Setting!,3249.0,1.0,4074264820,-122.39666899999999,SF,/sfc/apa/4074264820.html,37.773167,740.0,Sep,17,2013,060750607001036,06075,San Francisco,06075060700
100,downtown / civic / van ness,Comtemporary Furnished Studio,1800.0,,4063182445,-122.41323500000001,SF,/sfc/apa/4063182445.html,37.787093,,Sep,17,2013,060750123022003,06075,San Francisco,06075012302
101,sunset / parkside,2 Bedroom Sunset Lower Unit (Open House 9/21 2-3pm),2500.0,2.0,4074252612,-122.491615,SF,/sfc/apa/4074252612.html,37.740133,810.0,Sep,17,2013,060750330006006,06075,San Francisco,06075033000
102,marina / cow hollow,Large Sunny Studio - Great Location,2250.0,,4074245001,-122.436274,SF,/sfc/apa/4074245001.html,37.800814,,Sep,17,2013,060750129023001,06075,San Francisco,06075012902
103,USF / panhandle,1 Bed 1 Bath with your own parking,2300.0,1.0,4074252286,-122.44062,SF,/sfc/apa/4074252286.html,37.773674,,Sep,17,2013,060750164002005,06075,San Francisco,06075016400
104,north beach / telegraph hill,Light Filled/Remodeled Studio,2350.0,,4074249278,-122.40705700000001,SF,/sfc/apa/4074249278.html,37.802617,456.0,Sep,17,2013,060750104003012,06075,San Francisco,06075010400
105,mission district,"Resort-Style 1 BR + Pool, Rent Control near Dolores Park",2250.0,1.0,4074244762,,SF,/sfc/apa/4074244762.html,,650.0,Sep,17,2013,,,,
106,sunset / parkside,$1500  Studio  available,1500.0,,4074133552,-122.4836,SF,/sfc/apa/4074133552.html,37.7593,,Sep,17,2013,060750326022007,06075,San Francisco,06075032602
107,nob hill,HURRY!!!Renovated studio STEPS from all Downtown!Your new home,1995.0,,4074090462,,SF,/sfc/apa/4074090462.html,,,Sep,17,2013,,,,
108,downtown / civic / van ness,Charming Studio,1050.0,,4076148640,-122.415869,SF,/sfc/apa/4076148640.html,37.782875,,Sep,18,2013,060750124011001,06075,San Francisco,06075012401
109,pacific heights,Junior 1 Bedroom with Hardwood,2200.0,1.0,4071453887,-122.43376,SF,/sfc/apa/4071453887.html,37.793471999999994,,Sep,18,2013,060750132001003,06075,San Francisco,06075013200
110,inner sunset / UCSF,Avalon Sunset Towers Luxurious Living & Close To Shopping and Dining,2720.0,1.0,4076149983,-122.462864,SF,/sfc/apa/4076149983.html,37.75954,665.0,Sep,18,2013,060750301021008,06075,San Francisco,06075030102
111,castro / upper market,Designer 3 bedroom Home w/ Views ~ J.Wavro,9800.0,3.0,4076142848,-122.43811200000002,SF,/sfc/apa/4076142848.html,37.759093,,Sep,18,2013,060750205002003,06075,San Francisco,06075020500
112,financial district,Millennium Residence - 1 bed 1 bath ~ J.Wavro,3950.0,1.0,4076138644,-122.39581299999999,SF,/sfc/apa/4076138644.html,37.791153,,Sep,18,2013,060750615001009,06075,San Francisco,06075061500
113,inner sunset / UCSF,Rentals In SF / Mid-century modern home with panoramic ocean views!,3495.0,2.0,4061194018,-122.46848100000001,SF,/sfc/apa/4061194018.html,37.748946000000004,1100.0,Sep,18,2013,060750304003002,06075,San Francisco,06075030400
114,castro / upper market,Rentals In SF / Junior one bedroom APT in great area! PICS,2395.0,1.0,4071656400,-122.439074,SF,/sfc/apa/4071656400.html,37.757855,,Sep,18,2013,060750204022000,06075,San Francisco,06075020402
115,inner sunset / UCSF,Spacious 1 bedroom (walking paradise),1800.0,1.0,4063302343,-122.471668,SF,/sfc/apa/4063302343.html,37.763802,,Sep,18,2013,060750302011001,06075,San Francisco,06075030201
116,alamo square / nopa,Spacious 4BR/4BA Furnished Condo for Rent - 2800 sq ft,7950.0,4.0,4076117035,,SF,/sfc/apa/4076117035.html,,2800.0,Sep,18,2013,,,,
117,cole valley / ashbury hts,Rentals In SF / Top floor Edwardian apartment - hardwood floors! PICS,3495.0,2.0,4061224609,-122.44995800000001,SF,/sfc/apa/4061224609.html,37.7658,,Sep,18,2013,060750171021000,06075,San Francisco,06075017102
118,inner richmond,2+BR Upper Unit Flat (California St & 5th Ave) - Close to CPMC & USF,3500.0,2.0,4076121202,-122.446793,SF,/sfc/apa/4076121202.html,37.787262,1300.0,Sep,18,2013,060750154001001,06075,San Francisco,06075015400
119,richmond / seacliff,Beautiful large scaled view home in Sea Cliff ~ J.Wavro,14500.0,5.0,4075659019,-122.49056100000001,SF,/sfc/apa/4075659019.html,37.786283000000005,,Sep,18,2013,060750428002004,06075,San Francisco,06075042800
120,marina / cow hollow,Spacious Top Floor Studio with Hardwood Floors & Huge Walk-in Closet ,2400.0,,4060520351,,SF,/sfc/apa/4060520351.html,,,Sep,18,2013,,,,
121,ingleside / SFSU / CCSF,Hurry Before It's Gone- Studio With Parking And More!,,,4075653212,-122.493398,SF,/sfc/apa/4075653212.html,37.714652,510.0,Sep,18,2013,060750604001011,06075,San Francisco,06075060400
122,haight ashbury,Steele Properties Presents: Beautiful Edwardian 4 BD at Haight/Ashbury,5950.0,4.0,4060408468,-122.447027,SF,/sfc/apa/4060408468.html,37.770462,1700.0,Sep,18,2013,060750166004004,06075,San Francisco,06075016600
123,SOMA / south beach,Soma Grand Luxury Condo w/ City Views and dedicated parking ~ J.Wavro,3000.0,1.0,4075652858,-122.41315800000001,SF,/sfc/apa/4075652858.html,37.777457,,Sep,18,2013,060750176013001,06075,San Francisco,06075017601
124,laurel hts / presidio,"Spacious Modern Condo w/ Hardwood Floors, Parking, & Storage",3900.0,2.0,4060522317,,SF,/sfc/apa/4060522317.html,,,Sep,18,2013,,,,
125,marina / cow hollow,"Charming Studio, Walk to Every Thing! Laundry, Remodeled-FOUNDATION",2695.0,1.0,4075630003,,SF,/sfc/apa/4075630003.html,,,Sep,18,2013,,,,
126,inner sunset / UCSF,in-law Apt for rent in Sunset District ,1800.0,1.0,4058500507,-122.47874399999999,SF,/sfc/apa/4058500507.html,37.756014,,Sep,18,2013,060750326023001,06075,San Francisco,06075032602
127,laurel hts / presidio,Laurel Heights VIEWS w 2 car prk ~ J.Wavro,2975.0,1.0,4075644865,-122.44920900000001,SF,/sfc/apa/4075644865.html,37.784196,,Sep,18,2013,060750154003003,06075,San Francisco,06075015400
128,downtown / civic / van ness,Immaculate full service amenities w parking ~ J.Wavro,2950.0,1.0,4075639888,-122.42453799999998,SF,/sfc/apa/4075639888.html,37.801303999999995,,Sep,18,2013,060750102002007,06075,San Francisco,06075010200
129,potrero hill,"Beautiful Top Floor 2bed/2bath w/ Views, Den, Balcony and Parking!!",5385.0,2.0,4075529835,,SF,/sfc/apa/4075529835.html,,1465.0,Sep,18,2013,,,,
130,SOMA / south beach,Hawthorne Penthouse - Full Service - ReLISTO ,9500.0,3.0,4035704095,,SF,/sfc/apa/4035704095.html,,1975.0,Sep,18,2013,,,,
