SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,ESTIMATESBASE2000,POPESTIMATE2000,POPESTIMATE2001,POPESTIMATE2002,POPESTIMATE2003,POPESTIMATE2004,POPESTIMATE2005,POPESTIMATE2006,POPESTIMATE2007,POPESTIMATE2008,POPESTIMATE2009,CENSUS2010POP,POPESTIMATE2010
50,3,6,1,47,Alabama,Dallas County,46361,46198,46132,45377,45170,44795,44434,44323,44194,44265,43759,43820,43790
50,3,6,1,49,Alabama,DeKalb County,64436,64650,65678,65861,66530,67260,67794,68495,69450,70228,70864,71109,71151
50,3,6,1,51,Alabama,Elmore County,65819,66160,67459,68659,69935,71018,72978,75246,77124,77698,78632,79303,79549
50,3,6,1,53,Alabama,Escambia County,38452,38325,38197,38035,37796,37713,37601,37673,37839,37929,38249,38319,38292
50,3,6,1,55,Alabama,Etowah County,103448,103286,102976,102988,103025,103080,103174,103528,103893,104206,104239,104430,104462
50,3,6,1,57,Alabama,Fayette County,18522,18512,18384,18278,18178,18022,18030,17767,17523,17541,17310,17241,17219
50,3,6,1,59,Alabama,Franklin County,31257,31242,31190,30891,30874,30768,30968,31134,31004,31459,31589,31704,31729
50,3,6,1,61,Alabama,Geneva County,25700,25740,25565,25580,25702,25772,25988,26271,26322,26646,26653,26790,26815
50,3,6,1,63,Alabama,Greene County,9923,9902,9866,9893,9805,9686,9675,9361,9385,9359,9182,9045,8987
50,3,6,1,65,Alabama,Hale County,18270,18194,17868,17376,17116,16765,16622,16427,16418,16260,16025,15760,15708
50,3,6,1,67,Alabama,Henry County,16297,16341,16358,16447,16563,16692,16752,16953,17108,17129,17243,17302,17307
50,3,6,1,69,Alabama,Houston County,88831,88943,89490,89940,91321,92593,93903,95846,97727,99183,100500,101547,101888
50,3,6,1,71,Alabama,Jackson County,53871,53979,53997,53758,53711,53525,53332,53483,53333,53525,53461,53227,53128
50,3,6,1,73,Alabama,Jefferson County,662041,662033,660197,657518,657513,656023,654919,655893,655163,656510,658441,658466,658555
50,3,6,1,75,Alabama,Lamar County,15902,15923,15632,15446,15258,15075,15009,14816,14901,14799,14689,14564,14508
50,3,6,1,77,Alabama,Lauderdale County,87952,88039,87791,87627,88103,88732,89358,90294,91107,92202,92526,92709,92679
50,3,6,1,79,Alabama,Lawrence County,34834,34874,34870,34698,34488,34318,34435,34028,34293,34196,34315,34339,34342
50,3,6,1,81,Alabama,Lee County,115014,115430,116819,118392,120071,122274,126133,129247,131934,134524,138566,140247,140780
50,3,6,1,83,Alabama,Limestone County,65668,65966,66936,67677,68578,69593,71303,73651,76063,78835,81326,82782,83193
50,3,6,1,85,Alabama,Lowndes County,13483,13471,13329,13231,12996,12623,12397,12124,11973,11813,11486,11299,11259
50,3,6,1,87,Alabama,Macon County,24086,24047,23925,23563,23110,22685,22388,22227,21942,21597,21190,21452,21540
50,3,6,1,89,Alabama,Madison County,276998,278006,281517,286439,291342,295655,301474,309170,315859,323526,330856,334811,335988
50,3,6,1,91,Alabama,Marengo County,22533,22564,22203,22217,22025,21777,21569,21531,21475,21331,21170,21027,20975
50,3,6,1,93,Alabama,Marion County,31162,31137,30777,30608,30554,30516,30494,30779,30849,30918,30646,30776,30770
50,3,6,1,95,Alabama,Marshall County,82303,82429,82477,83417,84348,85131,86516,88209,89605,91072,92213,93019,93235
50,3,6,1,97,Alabama,Mobile County,399887,400073,400129,398549,398082,397959,398942,402916,405715,409196,411994,412992,413277
50,3,6,1,99,Alabama,Monroe County,24320,24319,24120,24022,23853,23769,23683,23602,23437,23393,23218,23068,22994
50,3,6,1,101,Alabama,Montgomery County,223518,223428,223048,223185,222680,223002,223608,227291,227888,227461,227607,229363,229844
50,3,6,1,103,Alabama,Morgan County,111076,111221,111682,111766,112898,113006,113964,115491,116397,117694,118954,119490,119626
50,3,6,1,105,Alabama,Perry County,11876,11809,11645,11549,11301,11153,10881,10677,10774,10722,10690,10591,10556
50,3,6,1,107,Alabama,Pickens County,20914,20881,20873,20835,20527,20380,20192,20128,19989,19951,19814,19746,19705
50,3,6,1,109,Alabama,Pike County,29688,29748,29844,29695,30050,30593,30772,31309,31761,32149,32560,32899,32957
50,3,6,1,111,Alabama,Randolph County,22344,22377,22465,22464,22359,22525,22658,22695,22662,22946,22864,22913,22916
50,3,6,1,113,Alabama,Russell County,49854,49805,49622,49489,49065,49498,49731,50459,51074,51434,52162,52947,53188
50,3,6,1,115,Alabama,St. Clair County,64740,65080,66093,67274,68629,70416,72596,75948,79348,81223,83009,83593,83761
50,3,6,1,117,Alabama,Shelby County,143429,144674,149358,153976,159704,165757,171691,178841,183491,188534,192708,195085,195828
50,3,6,1,119,Alabama,Sumter County,14772,14746,14630,14376,14329,14324,14143,14059,13926,13882,13746,13763,13744
50,3,6,1,121,Alabama,Talladega County,80734,80772,80939,81095,80900,81139,81546,81991,82226,82735,82674,82291,82110
50,3,6,1,123,Alabama,Tallapoosa County,41771,41689,41406,41044,40898,40904,40857,41243,41414,41668,41831,41616,41516
50,3,6,1,125,Alabama,Tuscaloosa County,164932,165414,166951,168154,169725,171960,175731,181383,184350,188093,192792,194656,195036
50,3,6,1,127,Alabama,Walker County,70688,70602,70364,69765,69105,68629,68500,68234,67695,67835,67347,67023,66947
50,3,6,1,129,Alabama,Washington County,18077,18101,17933,17895,17910,17801,17690,17705,17491,17496,17493,17581,17597
50,3,6,1,131,Alabama,Wilcox County,12995,12939,12806,12778,12600,12493,12369,12221,12208,12148,11870,11670,11615
50,3,6,1,133,Alabama,Winston County,24806,24857,24597,24600,24576,24614,24629,24796,24858,24696,24691,24484,24395
40,4,9,2,0,Alaska,Alaska,626933,627963,633714,642337,648414,659286,666946,675302,680300,687455,698895,710231,713985
50,4,9,2,13,Alaska,Aleutians East Borough,2697,2693,2590,2734,2732,2727,2787,2794,3012,2991,3084,3141,3155
50,4,9,2,16,Alaska,Aleutians West Census Area,5464,5470,5501,5472,5709,5798,5913,5658,5466,5393,5537,5561,5558
50,4,9,2,20,Alaska,Anchorage Municipality,260299,260816,264274,268229,270568,274484,276494,280085,278792,281554,287677,291826,293227
50,4,9,2,50,Alaska,Bethel Census Area,16046,16080,16171,16414,16517,16603,16728,16755,16723,16762,16860,17013,17090
50,4,9,2,60,Alaska,Bristol Bay Borough,1258,1232,1196,1166,1140,1144,1171,1111,1076,1040,976,997,1001
50,4,9,2,68,Alaska,Denali Borough,1893,1890,1850,1862,1825,1877,1834,1837,1803,1803,1817,1826,1835
50,4,9,2,70,Alaska,Dillingham Census Area,4922,4916,4840,4900,4828,4850,4841,4833,4832,4769,4776,4847,4877
50,4,9,2,90,Alaska,Fairbanks North Star Borough,82849,83005,84814,86095,86885,89043,90431,90545,93545,94552,95238,97581,98314
50,4,9,2,100,Alaska,Haines Borough,2392,2399,2334,2325,2337,2281,2280,2300,2379,2404,2486,2508,2512
50,4,9,2,105,Alaska,Hoonah-Angoon Census Area,2574,2562,2538,2479,2378,2331,2316,2271,2242,2225,2144,2150,2151
50,4,9,2,110,Alaska,Juneau City and Borough,30704,30668,30502,30712,30993,31103,31003,30808,30682,31110,30857,31275,31416
50,4,9,2,122,Alaska,Kenai Peninsula Borough,49673,49618,49986,50804,50963,51404,51590,52253,53272,53655,54796,55400,55610
50,4,9,2,130,Alaska,Ketchikan Gateway Borough,14074,14000,13796,13599,13335,13244,13305,13492,13341,13326,13294,13477,13529
50,4,9,2,150,Alaska,Kodiak Island Borough,13916,13983,13748,13651,13239,13206,13105,13184,13159,13262,13505,13592,13633
50,4,9,2,164,Alaska,Lake and Peninsula Borough,1823,1814,1715,1621,1626,1644,1639,1624,1629,1606,1612,1631,1633
50,4,9,2,170,Alaska,Matanuska-Susitna Borough,59318,59802,61807,64353,67162,70761,74409,78633,81402,84079,86885,88995,89737
50,4,9,2,180,Alaska,Nome Census Area,9196,9152,9167,9161,9210,9351,9338,9235,9246,9231,9313,9492,9552
50,4,9,2,185,Alaska,North Slope Borough,7385,7420,7530,7728,7968,8046,8190,8315,8519,8841,9105,9430,9480
50,4,9,2,188,Alaska,Northwest Arctic Borough,7208,7226,7251,7252,7310,7397,7416,7467,7440,7466,7467,7523,7543
50,4,9,2,195,Alaska,Petersburg Census Area,4256,4249,4198,4112,4022,4059,3959,3886,3898,3817,3775,3815,3828
50,4,9,2,198,Alaska,Prince of Wales-Hyder Census Area,6124,6098,5887,5675,5650,5614,5534,5574,5457,5448,5465,5559,5592
50,4,9,2,220,Alaska,Sitka City and Borough,8835,8845,8727,8874,8881,8890,8994,9046,8851,8835,8844,8881,8892
50,4,9,2,230,Alaska,Skagway Municipality,860,868,868,865,895,934,949,946,955,967,975,968,965
50,4,9,2,240,Alaska,Southeast Fairbanks Census Area,6174,6177,5705,5672,5772,6022,6530,6817,6945,6904,6955,7029,7054
50,4,9,2,261,Alaska,Valdez-Cordova Census Area,10195,10210,10114,10061,9996,9990,9914,9828,9572,9458,9492,9636,9680
50,4,9,2,270,Alaska,Wade Hampton Census Area,7028,7033,7051,7103,7201,7330,7313,7292,7372,7392,7469,7459,7464
50,4,9,2,275,Alaska,Wrangell City and Borough,2452,2452,2426,2382,2347,2288,2298,2309,2322,2353,2331,2369,2375
50,4,9,2,282,Alaska,Yakutat City and Borough,808,796,764,702,673,647,665,642,656,627,665,662,660
50,4,9,2,290,Alaska,Yukon-Koyukuk Census Area,6510,6489,6364,6334,6252,6218,6000,5762,5712,5585,5495,5588,5622
40,4,8,4,0,Arizona,Arizona,5130247,5160586,5273477,5396255,5510364,5652404,5839077,6029141,6167681,6280362,6343154,6392017,6413737
50,4,8,4,1,Arizona,Apache County,69430,69507,67863,67319,68072,68161,68521,69390,69602,69883,71008,71518,71676
50,4,8,4,3,Arizona,Cochise County,117743,118132,118798,119847,120638,123234,125786,127241,128206,129023,130081,131346,131789
50,4,8,4,5,Arizona,Coconino County,116320,116773,118283,121308,122882,125117,127025,128695,130442,131853,133477,134421,134651
50,4,8,4,7,Arizona,Gila County,51298,51332,51274,51478,51337,51423,51655,52541,53252,53437,53561,53597,53569
50,4,8,4,9,Arizona,Graham County,33475,33511,33356,33224,32985,32703,32964,33701,35175,36639,37525,37220,37110
50,4,8,4,11,Arizona,Greenlee County,8539,8547,8349,7831,7567,7549,7595,7838,8205,8561,8635,8437,8353
50,4,8,4,12,Arizona,La Paz County,19670,19611,19580,19464,19722,19979,20379,20573,20647,20555,20514,20489,20458
50,4,8,4,13,Arizona,Maricopa County,3072415,3092197,3175989,3255388,3328468,3417860,3538988,3642884,3711954,3771061,3803779,3817117,3827371
50,4,8,4,15,Arizona,Mohave County,154981,156215,160312,166155,172633,180521,188773,196168,199760,200078,199696,200186,200181
50,4,8,4,17,Arizona,Navajo County,97452,97689,97849,100123,101529,102774,104184,105624,106927,107626,107571,107449,107551
50,4,8,4,19,Arizona,Pima County,843702,848019,859280,874267,885893,901342,920298,940930,955869,967778,975580,980263,982154
50,4,8,4,21,Arizona,Pinal County,179469,181280,187747,197082,207920,219472,235708,271328,306174,335311,349830,375770,383842
50,4,8,4,23,Arizona,Santa Cruz County,38381,38589,39288,40009,40625,41623,42961,44298,45338,46144,47011,47420,47462
50,4,8,4,25,Arizona,Yavapai County,167377,168608,172636,177362,182090,187822,195424,204082,208773,211211,211172,211033,211061
50,4,8,4,27,Arizona,Yuma County,159995,160576,162873,165398,168003,172824,178816,183848,187357,191202,193714,195751,196509
40,3,7,5,0,Arkansas,Arkansas,2673293,2678588,2691571,2705927,2724816,2749686,2781097,2821761,2848650,2874554,2896843,2915918,2921606
50,3,7,5,1,Arkansas,Arkansas County,20751,20776,20593,20351,19981,19967,19954,19785,19434,19275,19134,19019,18978
50,3,7,5,3,Arkansas,Ashley County,24217,24179,23824,23745,23469,23156,22770,22501,22229,22148,21920,21853,21832
50,3,7,5,5,Arkansas,Baxter County,38365,38446,38331,38506,38772,39334,39992,40867,41491,41519,41561,41513,41503
50,3,7,5,7,Arkansas,Benton County,153323,154744,159258,164926,171742,179010,186756,195569,203664,210807,216620,221339,222894
50,3,7,5,9,Arkansas,Boone County,33940,34051,34258,34448,34554,34900,35492,36056,36759,36974,36844,36903,36918
50,3,7,5,11,Arkansas,Bradley County,12618,12597,12427,12340,12263,12107,12012,11778,11737,11643,11538,11508,11496
50,3,7,5,13,Arkansas,Calhoun County,5731,5709,5599,5655,5646,5591,5675,5693,5659,5528,5421,5368,5342
50,3,7,5,15,Arkansas,Carroll County,25345,25369,25559,25796,26033,26052,26435,26615,26699,26822,27158,27446,27562
50,3,7,5,17,Arkansas,Chicot County,14101,14062,13758,13382,13173,12879,12729,12516,12313,12050,11851,11800,11782
50,3,7,5,19,Arkansas,Clark County,23541,23474,23516,23334,23032,22904,22800,22924,23139,23272,23100,22995,22979
50,3,7,5,21,Arkansas,Clay County,17594,17537,17307,17083,16951,16827,16790,16679,16464,16209,16056,16083,16077
50,3,7,5,23,Arkansas,Cleburne County,24005,24100,24204,24375,24711,25018,25274,25430,25545,25623,25870,25970,25991
50,3,7,5,25,Arkansas,Cleveland County,8562,8536,8637,8634,8694,8744,8859,8829,8896,8775,8649,8689,8695
50,3,7,5,27,Arkansas,Columbia County,25612,25599,25424,25362,25106,25154,25025,25133,24847,24666,24622,24552,24511
50,3,7,5,29,Arkansas,Conway County,20320,20312,20362,20366,20461,20519,20683,20753,20992,21025,21257,21273,21266
50,3,7,5,31,Arkansas,Craighead County,82139,82519,83276,83978,85000,86331,87512,89725,91350,93316,95482,96443,96771
50,3,7,5,33,Arkansas,Crawford County,53252,53404,54273,55026,55836,56832,57779,59126,60210,60933,61595,61948,62026
50,3,7,5,35,Arkansas,Crittenden County,50855,50915,50919,50622,50252,50266,50244,50360,50438,50699,50929,50902,50937
50,3,7,5,37,Arkansas,Cross County,19529,19458,19382,19106,18896,18782,18883,18525,18172,18200,17971,17870,17851
50,3,7,5,39,Arkansas,Dallas County,9196,9146,9005,8826,8740,8740,8589,8477,8367,8282,8188,8116,8086
50,3,7,5,41,Arkansas,Desha County,15351,15302,14958,14583,14405,14270,13992,13870,13523,13273,13108,13008,12979
50,3,7,5,43,Arkansas,Drew County,18690,18670,18660,18410,18537,18595,18618,18705,18535,18481,18495,18509,18515
50,3,7,5,45,Arkansas,Faulkner County,86036,86501,88830,90624,93618,96162,99192,102969,105637,108477,110813,113237,113980
50,3,7,5,47,Arkansas,Franklin County,17766,17737,17830,17856,17913,17955,18073,18151,18237,18229,18145,18125,18116
50,3,7,5,49,Arkansas,Fulton County,11627,11656,11676,11737,11831,12079,12127,12119,12354,12382,12231,12245,12229
50,3,7,5,51,Arkansas,Garland County,88122,88311,89032,89630,90483,91084,92096,94077,94753,95636,95840,96024,96145
50,3,7,5,53,Arkansas,Grant County,16457,16476,16608,16637,16731,17026,17244,17442,17483,17718,17751,17853,17889
50,3,7,5,55,Arkansas,Greene County,37383,37563,37934,38229,38604,39046,39599,40469,40918,41286,41723,42090,42192
50,3,7,5,57,Arkansas,Hempstead County,23597,23620,23318,23199,23090,22971,22924,22957,22918,22624,22615,22609,22620
50,3,7,5,59,Arkansas,Hot Spring County,30413,30480,30615,30877,30821,31071,31565,32248,32631,32737,32797,32923,32943
50,3,7,5,61,Arkansas,Howard County,14304,14233,14146,14070,14098,13991,14025,13843,13680,13804,13741,13789,13820
50,3,7,5,63,Arkansas,Independence County,34246,34333,34374,34512,34652,34989,35155,35426,35690,35859,36259,36647,36738
50,3,7,5,65,Arkansas,Izard County,13261,13298,13289,13273,13467,13512,13524,13583,13552,13681,13679,13696,13683
50,3,7,5,67,Arkansas,Jackson County,18420,18403,18029,18054,17914,18159,18269,18092,18098,17966,17945,17997,17974
50,3,7,5,69,Arkansas,Jefferson County,84295,84171,83322,82760,82193,81455,80562,79977,78788,78354,77759,77435,77358
50,3,7,5,71,Arkansas,Johnson County,22779,22813,22977,23293,23587,23850,24173,24596,25109,25236,25374,25540,25585
50,3,7,5,73,Arkansas,Lafayette County,8550,8539,8374,8240,8244,8153,8042,7879,7845,7806,7654,7645,7637
50,3,7,5,75,Arkansas,Lawrence County,17762,17672,17749,17688,17605,17541,17343,17193,17286,17460,17336,17415,17424
50,3,7,5,77,Arkansas,Lee County,12578,12527,12358,12151,11732,11512,11370,11067,10823,10786,10458,10424,10412
50,3,7,5,79,Arkansas,Lincoln County,14482,14477,14505,14571,14578,14466,14496,14315,14237,14176,14185,14134,14104
50,3,7,5,81,Arkansas,Little River County,13628,13613,13334,13413,13361,13176,13114,13147,13107,13099,13228,13171,13143
50,3,7,5,83,Arkansas,Logan County,22480,22500,22385,22454,22707,22682,22661,22689,22758,22699,22429,22353,22325
50,3,7,5,85,Arkansas,Lonoke County,52849,53153,54043,55184,56452,58449,60225,62648,64379,66086,67481,68356,68634
50,3,7,5,87,Arkansas,Madison County,14228,14272,14253,14137,14186,14437,14714,15156,15353,15619,15673,15717,15735
50,3,7,5,89,Arkansas,Marion County,16147,16162,16232,16149,16133,16293,16464,16759,16795,16996,16721,16653,16624
50,3,7,5,91,Arkansas,Miller County,40455,40436,40606,40923,41382,41765,42181,42669,42710,43047,43284,43462,43529
50,3,7,5,93,Arkansas,Mississippi County,51999,51849,51017,49957,48554,47777,47399,46983,46850,47037,46857,46480,46349
50,3,7,5,95,Arkansas,Monroe County,10255,10182,9947,9700,9579,9287,9176,8949,8670,8456,8286,8149,8099
50,3,7,5,97,Arkansas,Montgomery County,9222,9263,9221,9150,9239,9334,9358,9437,9478,9573,9490,9487,9472
50,3,7,5,99,Arkansas,Nevada County,9940,9895,9774,9652,9590,9535,9479,9383,9267,9062,9058,8997,8976
50,3,7,5,101,Arkansas,Newton County,8603,8642,8534,8534,8613,8503,8467,8474,8428,8423,8311,8330,8334
50,3,7,5,103,Arkansas,Ouachita County,28776,28677,28088,27701,27488,27107,26934,26656,26448,26202,26024,26120,26134
50,3,7,5,105,Arkansas,Perry County,10199,10223,10306,10363,10346,10352,10356,10352,10496,10441,10443,10445,10441
50,3,7,5,107,Arkansas,Phillips County,26438,26290,25821,25067,24520,24174,23946,23244,22775,22411,21976,21757,21655
50,3,7,5,109,Arkansas,Pike County,11301,11332,11306,11321,11243,11246,11216,11262,11342,11283,11260,11291,11285
50,3,7,5,111,Arkansas,Poinsett County,25617,25617,25498,25213,25177,25039,25058,24904,24813,24599,24632,24583,24568
50,3,7,5,113,Arkansas,Polk County,20234,20268,20189,20243,20199,20057,20203,20422,20377,20388,20583,20662,20680
50,3,7,5,115,Arkansas,Pope County,54492,54541,54986,55405,55622,56606,57535,58809,59793,60528,61302,61754,61867
50,3,7,5,117,Arkansas,Prairie County,9523,9491,9505,9406,9303,9111,9046,8989,8951,8806,8754,8715,8696
50,3,7,5,119,Arkansas,Pulaski County,361370,361876,362866,364327,365258,366608,368274,371647,373403,376567,380053,382748,383632
50,3,7,5,121,Arkansas,Randolph County,18191,18155,18177,18115,18005,18207,18086,18185,18054,18072,17964,17969,17969
50,3,7,5,123,Arkansas,St. Francis County,29330,29325,29072,29023,29170,28905,28639,28496,28394,28110,28336,28258,28174
50,3,7,5,125,Arkansas,Saline County,83559,84084,85473,87031,88627,90961,93493,96661,100043,102599,105362,107118,107532
50,3,7,5,127,Arkansas,Scott County,10986,10980,10950,10930,10936,10872,10976,11239,11287,11227,11097,11233,11278
50,3,7,5,129,Arkansas,Searcy County,8240,8246,8220,8150,7996,8046,8110,8210,8275,8274,8190,8195,8187
50,3,7,5,131,Arkansas,Sebastian County,115101,115578,116488,117200,117725,118168,119426,121492,122946,123762,125116,125744,125920
50,3,7,5,133,Arkansas,Sevier County,15750,15747,15586,15702,15824,16041,16298,16273,16347,16606,16812,17058,17142
50,3,7,5,135,Arkansas,Sharp County,17120,17138,17244,17276,17381,17353,17391,17629,17506,17416,17373,17264,17236
50,3,7,5,137,Arkansas,Stone County,11496,11519,11484,11607,11704,11768,11909,12262,12230,12370,12340,12394,12403
50,3,7,5,139,Arkansas,Union County,45633,45532,44894,44769,44281,43747,43134,42914,42267,42222,41944,41639,41554
50,3,7,5,141,Arkansas,Van Buren County,16182,16221,16332,16322,16506,16664,16869,17027,17226,17373,17293,17295,17265
50,3,7,5,143,Arkansas,Washington County,157805,158851,163151,166859,171424,176837,183799,190314,194526,197223,199774,203065,204123
50,3,7,5,145,Arkansas,White County,67164,67382,68273,68796,69389,70403,71355,72728,73573,74848,76284,77076,77350
50,3,7,5,147,Arkansas,Woodruff County,8738,8686,8675,8446,8284,8102,8023,7877,7648,7458,7294,7260,7249
50,3,7,5,149,Arkansas,Yell County,21127,21147,21145,21147,21197,21074,21141,21556,21633,21935,22145,22185,22206
40,4,9,6,0,California,California,33871653,33987977,34479458,34871843,35253159,35574576,35827943,36021202,36250311,36604337,36961229,37253956,37349363
50,4,9,6,1,California,Alameda County,1443705,1449840,1469484,1462106,1454163,1445721,1441545,1444484,1455715,1477208,1498539,1510271,1513952
50,4,9,6,3,California,Alpine County,1206,1209,1196,1237,1233,1263,1219,1276,1274,1202,1197,1175,1163
50,4,9,6,5,California,Amador County,35101,35153,35697,36561,36994,37400,38040,38353,38756,38248,38238,38091,38042
50,4,9,6,7,California,Butte County,203125,203807,206193,209120,211481,213065,214752,216824,217469,219034,219777,220000,220072
50,4,9,6,9,California,Calaveras County,40535,40645,41304,42380,43755,44530,45295,46045,46268,46265,45900,45578,45490
50,4,9,6,11,California,Colusa County,18799,18817,19022,19232,19568,20207,20540,20890,21075,21134,21250,21419,21474
50,4,9,6,13,California,Contra Costa County,948865,952810,970952,979862,987531,992424,999013,1000834,1009152,1023344,1037890,1049025,1052827
50,4,9,6,15,California,Del Norte County,27505,27440,27292,27397,27601,27950,28281,28211,28415,28496,28599,28610,28632
50,4,9,6,17,California,El Dorado County,156314,157162,161101,165195,168331,171653,175003,176773,177694,179150,180455,181058,181194
50,4,9,6,19,California,Fresno County,798766,801288,813021,829762,847193,861035,872470,883862,895933,909630,921478,930450,933248
50,4,9,6,21,California,Glenn County,26432,26416,26450,26651,27016,27122,27393,27652,27775,28019,28100,28122,28129
50,4,9,6,23,California,Humboldt County,126508,126462,127520,128780,129754,130702,131497,132093,132001,132657,133744,134623,134794
50,4,9,6,25,California,Imperial County,142334,142410,143707,145640,148984,152259,156113,160505,164596,167917,172008,174528,175234
50,4,9,6,27,California,Inyo County,17955,17955,18117,18394,18593,18578,18478,18370,18426,18318,18544,18546,18513
50,4,9,6,29,California,Kern County,661632,663803,676574,694059,714272,736296,760726,784511,803281,818327,830137,839631,842207
50,4,9,6,31,California,Kings County,129470,129835,132881,135369,139393,143601,145147,147712,150420,152027,152278,152982,153174
50,4,9,6,33,California,Lake County,58331,58538,60219,61513,62496,63116,63811,64202,64077,64392,64413,64665,64771
50,4,9,6,35,California,Lassen County,33828,33719,33548,33430,33930,34458,34488,34605,35615,35221,35160,34895,34805
50,4,9,6,37,California,Los Angeles County,9519315,9538191,9626034,9705913,9767145,9793263,9786373,9737955,9700359,9735147,9787400,9818605,9830420
50,4,9,6,39,California,Madera County,123179,123587,125581,128369,132738,137106,140313,143622,146067,148359,149234,150865,151408
50,4,9,6,41,California,Marin County,247301,247520,247866,246225,245054,243769,244206,244580,246248,248398,250862,252409,252916
50,4,9,6,43,California,Mariposa County,17112,17101,17099,17243,17707,17844,17972,18219,18366,18412,18212,18251,18243
50,4,9,6,45,California,Mendocino County,86253,86407,86841,87364,88140,88030,87981,87345,87071,87468,87722,87841,87828
50,4,9,6,47,California,Merced County,211178,212258,218816,225351,231735,237180,242554,245338,248540,250538,252302,255793,256778
50,4,9,6,49,California,Modoc County,9431,9406,9350,9362,9501,9605,9565,9617,9525,9551,9646,9686,9685
50,4,9,6,51,California,Mono County,12839,12921,13224,13404,13352,13360,13474,13743,13678,13862,14008,14202,14234
50,4,9,6,53,California,Monterey County,401752,402990,407082,408977,409725,408731,405139,401831,402376,406022,410263,415057,416682
50,4,9,6,55,California,Napa County,124344,124565,126818,128744,130138,130387,130381,131440,132583,134093,135280,136484,136858
50,4,9,6,57,California,Nevada County,92055,92520,93715,94647,95606,96512,97250,97549,97794,98200,98591,98764,98794
50,4,9,6,59,California,Orange County,2846282,2854513,2885457,2908245,2929376,2941711,2940055,2932261,2931629,2957593,2987177,3010232,3018963
50,4,9,6,61,California,Placer County,248270,251012,263615,276907,290726,302841,312762,321934,329023,337568,343810,348432,350048
50,4,9,6,63,California,Plumas County,20817,20754,20820,20866,20957,21000,21010,20762,20667,20410,20169,20007,19950
