neighborhood,title,price,bedrooms,pid,longitude,date,link,latitude,sqft,sourcepage
 (twin peaks / diamond hts),Remodeled Clarendon Heights Home with VIEWS; Garage,$8200,   / 3br -    ,4046427054,-122.449987,Sep  4 2013,/sfc/apa/4046427054.html,37.758892,   / 3br -    ,http://sfbay.craigslist.org/sfc/apa/index100.html
 (castro / upper market),Luxury Home in Clarendon Heights with VIEWS; Parking; Remodeled,$8200,   / 3br -    ,4046420052,-122.450395,Sep  4 2013,/sfc/apa/4046420052.html,37.758858,   / 3br -    ,http://sfbay.craigslist.org/sfc/apa/index100.html
 (financial district),Modern 1 BD/ 1 BA condo in a historic building with a great New York feel centra,$2995,   / 1br -    ,4026544139,,Sep  4 2013,/sfc/apa/4026544139.html,,   / 1br -    ,http://sfbay.craigslist.org/sfc/apa/index100.html
 (richmond / seacliff),"Bright and Spacious Top Floor Studio, Hardwood Floors, Parking, Lots of Closet S",$1695,      ,4036933089,,Sep  4 2013,/sfc/apa/4036933089.html,,      ,http://sfbay.craigslist.org/sfc/apa/index100.html
 (pacific heights),Remodeled Two Bedroom With New Carpet & Parking Included,$3000,   / 2br -    ,4046390878,-122.438056,Sep  4 2013,/sfc/apa/4046390878.html,37.789326,   / 2br -    ,http://sfbay.craigslist.org/sfc/apa/index100.html
 (SOMA / south beach),Live/Work Loft + HUGE 400 Sqft Patio *PICS*,$3900,   / 1br - 950ft² -    ,4031288668,-122.395744,Sep  4 2013,/sfc/apa/4031288668.html,37.777698,   / 1br - 950ft² -    ,http://sfbay.craigslist.org/sfc/apa/index100.html
 (castro / upper market),NEWLY REDECORATED WITH GARDEN VIEWS - GREAT LOCATION - WELCOME HOME!,$2400,   / 1br -    ,4036566554,-122.435188,Sep  3 2013,/sfc/apa/4036566554.html,37.762671,   / 1br -    ,http://sfbay.craigslist.org/sfc/apa/index700.html
 (castro / upper market),Gorgeous furnished townhouse with private elevator ~ J.Wavro,$10000,   / 3br -    ,4044142664,-122.428202,Sep  3 2013,/sfc/apa/4044142664.html,37.759692,   / 3br -    ,http://sfbay.craigslist.org/sfc/apa/index700.html
 (glen park),Exquisite Furnished home.  ~ J.Wavro,$9750,   / 4br -    ,4044135676,-122.428977,Sep  3 2013,/sfc/apa/4044135676.html,37.736388,   / 4br -    ,http://sfbay.craigslist.org/sfc/apa/index700.html
 (twin peaks / diamond hts),Large Miraloma Park 4bd/3ba single family home  ~ J.Wavro,$4950,   / 4br -    ,4044132086,-122.454932,Sep  3 2013,/sfc/apa/4044132086.html,37.741777,   / 4br -    ,http://sfbay.craigslist.org/sfc/apa/index700.html
 (SOMA / south beach),Full floor flat - 1 bedroom 1 bath  ~ J.Wavro,$4200,   / 1br -    ,4044127658,-122.395478,Sep  3 2013,/sfc/apa/4044127658.html,37.788092,   / 1br -    ,http://sfbay.craigslist.org/sfc/apa/index700.html
 (marina / cow hollow),Top floor remodeled studio. Available October 1st ~ J.Wavro,$2150,      ,4044120912,-122.429855,Sep  3 2013,/sfc/apa/4044120912.html,37.802583,      ,http://sfbay.craigslist.org/sfc/apa/index700.html
 (pacific heights),PRIME PACIFIC HEIGHTS..TOP FLOOR.GGB VIEWS,$5000,   / 1br -    ,4044053941,-122.434734,Sep  3 2013,/sfc/apa/4044053941.html,37.793347,   / 1br -    ,http://sfbay.craigslist.org/sfc/apa/index700.html
 (bayview),Remodeled 2 Bedroom Home ~ J.Wavro,$2750,   / 2br -    ,4044112137,-122.391290,Sep  3 2013,/sfc/apa/4044112137.html,37.730411,   / 2br -    ,http://sfbay.craigslist.org/sfc/apa/index700.html
 (noe valley),Romeo Apt. w/ Hardwood Floors & Period Detail ~ J.Wavro,$3375,   / 2br -    ,4044598621,-122.423028,Sep  3 2013,/sfc/apa/4044598621.html,37.753569,   / 2br -    ,http://sfbay.craigslist.org/sfc/apa/index500.html
 (downtown / civic / van ness),BRAND NEW Studio! Washer/Dryer IN UNIT!!,$2567,      ,4044515013,-122.417501,Sep  3 2013,/sfc/apa/4044515013.html,37.776541,      ,http://sfbay.craigslist.org/sfc/apa/index500.html
 (financial district),Millennium Tower Luxury Condo - 3 Bedrooms/3 Baths w/ some Bay Views,$7500,   / 3br - 1887ft² -    ,4030460176,-122.395813,Sep  3 2013,/sfc/apa/4030460176.html,37.791153,   / 3br - 1887ft² -    ,http://sfbay.craigslist.org/sfc/apa/index500.html
 (tenderloin),Newly Remodeled Jr. 1 Bed Available Now! ~ J.Wavro,$2395,   / 1br -    ,4044585659,-122.415883,Sep  3 2013,/sfc/apa/4044585659.html,37.783516,   / 1br -    ,http://sfbay.craigslist.org/sfc/apa/index500.html
 (marina / cow hollow),"ID#1407: Cow Hollow Furnished Jr 1 Bedroom, 1 Bath Condo w/Views!",$3050,   / 1br -    ,4044568456,-122.424023,Sep  3 2013,/sfc/apa/4044568456.html,37.797848,   / 1br -    ,http://sfbay.craigslist.org/sfc/apa/index500.html
 (noe valley),Charming Noe Valley 2 bdrm Victorian Flat,$3900,   / 2br - 1070ft² -    ,4044566329,-122.426506,Sep  3 2013,/sfc/apa/4044566329.html,37.753644,   / 2br - 1070ft² -    ,http://sfbay.craigslist.org/sfc/apa/index500.html
 (pacific heights),ID#1405: 1BR Dog-Friendly Unit w/Strg,$3500,   / 1br -    ,4044549939,-122.428287,Sep  3 2013,/sfc/apa/4044549939.html,37.790561,   / 1br -    ,http://sfbay.craigslist.org/sfc/apa/index500.html
 (inner richmond),1 bd/1 bath for rent,$1200,      ,4044862516,-122.464256,Sep  3 2013,/sfc/apa/4044862516.html,37.780535,      ,http://sfbay.craigslist.org/sfc/apa/index400.html
,Great Home In A Quite Neighborhood w/ Little Traffic,$3600,   / 2br -    ,4038827048,-122.497125,Sep  3 2013,/sfc/apa/4038827048.html,37.731542,   / 2br -    ,http://sfbay.craigslist.org/sfc/apa/index400.html
 (alamo square / nopa),Remodeled Furnished Sunny Studio,$2600,   / 550ft² -    ,4044915921,,Sep  3 2013,/sfc/apa/4044915921.html,,   / 550ft² -    ,http://sfbay.craigslist.org/sfc/apa/index400.html
 (visitacion valley),1bed 1bath in-law unit with patio,$1500,   / 1br -    ,4044913328,-122.407679,Sep  3 2013,/sfc/apa/4044913328.html,37.711919,   / 1br -    ,http://sfbay.craigslist.org/sfc/apa/index400.html
 (russian hill),Prime Russian Hill garden flat ,$5300,   / 2br - 1450ft² -    ,4034865576,-122.420182,Sep  3 2013,/sfc/apa/4034865576.html,37.805015,   / 2br - 1450ft² -    ,http://sfbay.craigslist.org/sfc/apa/index400.html
 (sunset / parkside),SUPER CLEAN &Very Quiet Neighborhood ,$3600,   / 2br -    ,4044909446,,Sep  3 2013,/sfc/apa/4044909446.html,,   / 2br -    ,http://sfbay.craigslist.org/sfc/apa/index400.html
 (alamo square / nopa),Remodeled 1-bedroom in Victorian,$2600,   / 1br -    ,4044905226,,Sep  3 2013,/sfc/apa/4044905226.html,,   / 1br -    ,http://sfbay.craigslist.org/sfc/apa/index400.html
 (richmond / seacliff),Very nice large modern 4 bedrooms  2.5 baths flat for rent,$3800,   / 4br - 2200ft² -    ,4045671743,-122.483936,Sep  4 2013,/sfc/apa/4045671743.html,37.783931,   / 4br - 2200ft² -    ,http://sfbay.craigslist.org/sfc/apa/index300.html
 (Russian Hill),Fabulous Multi-Level View Home,$22000,   / 4br - 3800ft² -    ,4045643933,,Sep  4 2013,/sfc/apa/4045643933.html,,   / 4br - 3800ft² -    ,http://sfbay.craigslist.org/sfc/apa/index300.html
 (SOMA / south beach),Treat yourself to the apartment you deserve! ,$3169,   / 1br - 535ft² -    ,4045685786,,Sep  4 2013,/sfc/apa/4045685786.html,,   / 1br - 535ft² -    ,http://sfbay.craigslist.org/sfc/apa/index300.html
 (downtown / civic / van ness),Mid Market-Large 2nd floor center facing studio in Victorian building ,$1550,   / 336ft² -    ,4024964107,-122.411257,Sep  4 2013,/sfc/apa/4024964107.html,37.782152,   / 336ft² -    ,http://sfbay.craigslist.org/sfc/apa/index300.html
 (SOMA / south beach),The Infinity: 1+ Bed 1 Bath w/ Views on 26th Floor **Video Tour**,$3595,   / 1br -    ,4004477365,-122.391858,Sep  4 2013,/sfc/apa/4004477365.html,37.789369,   / 1br -    ,http://sfbay.craigslist.org/sfc/apa/index300.html
 (downtown / civic / van ness),Loft Studio w/ Eat in Kitchen! #402,$1825,      ,4045676596,-122.413878,Sep  4 2013,/sfc/apa/4045676596.html,37.785675,      ,http://sfbay.craigslist.org/sfc/apa/index300.html
 (inner sunset / UCSF),Newly Remodeled 1Bed 1 Bath Unit Close to UCSF w/Parking,$2386,   / 1br -    ,4045665276,-122.463067,Sep  4 2013,/sfc/apa/4045665276.html,37.757934,   / 1br -    ,http://sfbay.craigslist.org/sfc/apa/index300.html
 (mission district),Great Mission Studio,$1550,      ,4045662730,-122.418151,Sep  4 2013,/sfc/apa/4045662730.html,37.748880,      ,http://sfbay.craigslist.org/sfc/apa/index300.html
 (noe valley),"Great location! 4 bedroom, 3.5 bath w/ deck and yard ~ J.Wavro",$9800,   / 4br -    ,4044387572,-122.429346,Sep  3 2013,/sfc/apa/4044387572.html,37.748362,   / 4br -    ,http://sfbay.craigslist.org/sfc/apa/index600.html
 (marina / cow hollow),Top Floor Studio - Very Quiet! Great location! ~ J.Wavro,$2050,      ,4044383934,-122.429855,Sep  3 2013,/sfc/apa/4044383934.html,37.802583,      ,http://sfbay.craigslist.org/sfc/apa/index600.html
 (SOMA / south beach),Sunny South-facing 1-bedrm with Floor-to-Ceiling Windows!,$3115,   / 1br - 708ft² -    ,4044372868,-122.394755,Sep  3 2013,/sfc/apa/4044372868.html,37.775871,   / 1br - 708ft² -    ,http://sfbay.craigslist.org/sfc/apa/index600.html
 (inner sunset / UCSF),Studio for rent,$1300,   / 500ft² -    ,4044372516,,Sep  3 2013,/sfc/apa/4044372516.html,,   / 500ft² -    ,http://sfbay.craigslist.org/sfc/apa/index600.html
 (richmond / seacliff),"Sunny Entire Top Story 2BR+1Bath Flat, Views from 3 Decks, Like New",$2450,   / 2br - 900ft² -    ,4044369374,-122.486701,Sep  3 2013,/sfc/apa/4044369374.html,37.777075,   / 2br - 900ft² -    ,http://sfbay.craigslist.org/sfc/apa/index600.html
 (SOMA / south beach),Simply the BEST!!,$2940,   / 1br -    ,4044341586,-122.397100,Sep  3 2013,/sfc/apa/4044341586.html,37.762100,   / 1br -    ,http://sfbay.craigslist.org/sfc/apa/index600.html
 (financial district),"Spacious, Amazing Views of the North Bay, Ferry Building and More",$5135,   / 2br - 799ft² -    ,4044366867,-122.392342,Sep  3 2013,/sfc/apa/4044366867.html,37.791456,   / 2br - 799ft² -    ,http://sfbay.craigslist.org/sfc/apa/index600.html
 (SOMA / south beach),Just Reduced For Immediate Move-In!! Beautiful 2Bed/2Bath Penthouse!,$6995,   / 2br -    ,4046641969,,Sep  4 2013,/sfc/apa/4046641969.html,,   / 2br -    ,http://sfbay.craigslist.org/sfc/apa/
 (excelsior / outer mission),Immaculate 2 bd / 2ba Family Home,$2500,   / 2br - 1466ft² -    ,4017450170,-122.426025,Sep  4 2013,/sfc/apa/4017450170.html,37.729397,   / 2br - 1466ft² -    ,http://sfbay.craigslist.org/sfc/apa/
 (SOMA / south beach),Fantastic New 2 Bedroom Back On Market- Open House This Week,$4100,   / 2br -    ,3984255081,,Sep  4 2013,/sfc/apa/3984255081.html,,   / 2br -    ,http://sfbay.craigslist.org/sfc/apa/
 (bernal heights),Awesome Home For Rent- 3 Bedroom 2.5 Bath,$5595,   / 3br -    ,3991773226,,Sep  4 2013,/sfc/apa/3991773226.html,,   / 3br -    ,http://sfbay.craigslist.org/sfc/apa/
 (richmond / seacliff),Large 2 BR/1 BA with Parking,$2650,   / 2br - 1000ft² -    ,4036673692,-122.479577,Sep  4 2013,/sfc/apa/4036673692.html,37.783098,   / 2br - 1000ft² -    ,http://sfbay.craigslist.org/sfc/apa/
 (nob hill),Fantastic New 1 Bedroom - Nob Hill- ,$3200,   / 1br -    ,3999637419,,Sep  4 2013,/sfc/apa/3999637419.html,,   / 1br -    ,http://sfbay.craigslist.org/sfc/apa/
 (nob hill),Fantastic Large 1 Bedroom- Showing Today,$3300,   / 1br -    ,3999638088,,Sep  4 2013,/sfc/apa/3999638088.html,,   / 1br -    ,http://sfbay.craigslist.org/sfc/apa/
 (pacific heights),Fantastic Studio- Back On Market!!,$2195,      ,4041307661,,Sep  4 2013,/sfc/apa/4041307661.html,,      ,http://sfbay.craigslist.org/sfc/apa/
 (SOMA / south beach),Top Floor Bi-Level Loft Condo Near SF Flower Market,$4200,   / 2br -    ,4045974588,-122.400409,Sep  4 2013,/sfc/apa/4045974588.html,37.775261,   / 2br -    ,http://sfbay.craigslist.org/sfc/apa/index200.html
 (Alta Loma & Eastmoor Ave.),Daly City home for rent,$3000,   / 3br - 1450ft² -    ,4045978167,-122.478884,Sep  4 2013,/sfc/apa/4045978167.html,37.684933,   / 3br - 1450ft² -    ,http://sfbay.craigslist.org/sfc/apa/index200.html
 (marina / cow hollow),Prime Cow Hollow,$8975,   / 3br - 2700ft² -    ,4045978082,-122.444558,Sep  4 2013,/sfc/apa/4045978082.html,37.795865,   / 3br - 2700ft² -    ,http://sfbay.craigslist.org/sfc/apa/index200.html
 (SOMA / south beach),Updated Top Floor Studio 9/15/13,$3219,   / 600ft² -    ,4045961980,,Sep  4 2013,/sfc/apa/4045961980.html,,   / 600ft² -    ,http://sfbay.craigslist.org/sfc/apa/index200.html
 (SOMA / south beach),"Infinity Luxury - great location, parking, gym, pool, doorman",$3900,   / 1br -    ,4045944122,-122.391858,Sep  4 2013,/sfc/apa/4045944122.html,37.789369,   / 1br -    ,http://sfbay.craigslist.org/sfc/apa/index200.html
 (SOMA / south beach),23rd Floor alcove corner 1bedroom w/ $0 deposit!*,$3650,   / 1br - 756ft² -    ,4035813483,-122.402025,Sep  4 2013,/sfc/apa/4035813483.html,37.786248,   / 1br - 756ft² -    ,http://sfbay.craigslist.org/sfc/apa/index200.html
 (twin peaks / diamond hts),Suburban City Life. The Best of Both Worlds!,$2625,   / 1br - 615ft² -    ,4045930555,-122.439559,Sep  4 2013,/sfc/apa/4045930555.html,37.744708,   / 1br - 615ft² -    ,http://sfbay.craigslist.org/sfc/apa/index200.html
 (castro / upper market),2-Bedroom Castro/Upper Market,$2950,   / 2br - 800ft² -    ,4046408764,-122.433637,Sep  4 2013,/sfc/apa/4046408764.html,37.757751,   / 2br - 800ft² -    ,http://sfbay.craigslist.org/sfc/apa/index100.html
 (SOMA / south beach),Private 250 Sq Ft Patio - Modern Full Service Building,$3300,   / 1br - 700ft² -    ,4031479190,-122.394035,Sep  4 2013,/sfc/apa/4031479190.html,37.776333,   / 1br - 700ft² -    ,http://sfbay.craigslist.org/sfc/apa/index100.html
 (downtown / civic / van ness),NEW Studio w/ AMAZING Views!,$2436,      ,4046277814,-122.417501,Sep  4 2013,/sfc/apa/4046277814.html,37.776541,      ,http://sfbay.craigslist.org/sfc/apa/index100.html
 (noe valley),Completely Remodeled Large Top Floor Flat in Noe Valley!  ,$5995,   / 3br -    ,4046404897,-122.422308,Sep  4 2013,/sfc/apa/4046404897.html,37.745252,   / 3br -    ,http://sfbay.craigslist.org/sfc/apa/index100.html
 (SOMA / south beach),Close proximity to everything! ,$4373,   / 2br - 1120ft² -    ,4046397840,,Sep  4 2013,/sfc/apa/4046397840.html,,   / 2br - 1120ft² -    ,http://sfbay.craigslist.org/sfc/apa/index100.html
 (richmond / seacliff),UNIQUE BI-LEVEL UNIT,$2000,   / 1br -    ,4046312223,-122.486622,Sep  4 2013,/sfc/apa/4046312223.html,37.776470,   / 1br -    ,http://sfbay.craigslist.org/sfc/apa/index100.html
 (alamo square / nopa),"Large 3BR flat with classic SF charm, near USF & Golden Gate Park",$4495,   / 3br -    ,4035736395,,Sep  3 2013,/sfc/apa/4035736395.html,,   / 3br -    ,http://sfbay.craigslist.org/sfc/apa/index700.html
 (downtown / civic / van ness),Remodeled Studio w/ Hrdwd Floors available ~ J.Wavro,$1650,      ,4044094974,-122.415316,Sep  3 2013,/sfc/apa/4044094974.html,37.780719,      ,http://sfbay.craigslist.org/sfc/apa/index700.html
 (laurel hts / presidio),ID#1168: Presidio Hts Rnvtd 6BR/5.5BA Sweeping VU House w/Decks & 2Pkg,$22500,   / 6br -    ,4044080009,-122.453786,Sep  3 2013,/sfc/apa/4044080009.html,37.790023,   / 6br -    ,http://sfbay.craigslist.org/sfc/apa/index700.html
 (USF / panhandle),Bright Spacious Huge 7BR 4.5BA in Exclusive Lone Mountain  Walk to USF,$8900,   / 7br - 3000ft² -    ,4044090111,-122.447352,Sep  3 2013,/sfc/apa/4044090111.html,37.780152,   / 7br - 3000ft² -    ,http://sfbay.craigslist.org/sfc/apa/index700.html
 (alamo square / nopa),Remodeled 1/1+office w/ park view ~ J.Wavro,$3450,   / 1br -    ,4044090038,-122.436129,Sep  3 2013,/sfc/apa/4044090038.html,37.775206,   / 1br -    ,http://sfbay.craigslist.org/sfc/apa/index700.html
 (twin peaks / diamond hts),YOU Gottah See IT~Panorama VIEW~Private Huge Deck~PARKING Included,$2950,   / 1br - 800ft² -    ,4038729024,-122.443284,Sep  3 2013,/sfc/apa/4038729024.html,37.753567,   / 1br - 800ft² -    ,http://sfbay.craigslist.org/sfc/apa/index500.html
 (mission district),"Mission Doloras 2 DR-1Bath Condo  $5,500",$5500,   / 2br - 1550ft² -    ,4044531866,,Sep  3 2013,/sfc/apa/4044531866.html,,   / 2br - 1550ft² -    ,http://sfbay.craigslist.org/sfc/apa/index500.html
 (marina / cow hollow),ID#1103: Cw Hlw 1BR w/Shrd Gdn Patio &Pkg,$2750,   / 1br -    ,4044551207,-122.430954,Sep  3 2013,/sfc/apa/4044551207.html,37.799222,   / 1br -    ,http://sfbay.craigslist.org/sfc/apa/index500.html
 (cole valley / ashbury hts),Beautiful 2 bed/2 bath Owner's Unit,$5800,   / 2br - 1800ft² -    ,4044570326,-122.452895,Sep  3 2013,/sfc/apa/4044570326.html,37.758063,   / 2br - 1800ft² -    ,http://sfbay.craigslist.org/sfc/apa/index500.html
 (pacific heights),ID#1400: Remodeled 1BR/1BA Spacious Condo,$4000,   / 1br -    ,4044547327,-122.443746,Sep  3 2013,/sfc/apa/4044547327.html,37.792204,   / 1br -    ,http://sfbay.craigslist.org/sfc/apa/index500.html
 (pacific heights),ID#1399: Pacific Heights Furnished 1BR/1BA Garden Apt w/Deck &Backyard,$4000,   / 1br -    ,4044545903,-122.439408,Sep  3 2013,/sfc/apa/4044545903.html,37.794679,   / 1br -    ,http://sfbay.craigslist.org/sfc/apa/index500.html
 (nob hill),ID#1385: Large 2BR Remodeled Apt w/SF Charm!,$3950,   / 2br -    ,4044548610,-122.412979,Sep  3 2013,/sfc/apa/4044548610.html,37.792962,   / 2br -    ,http://sfbay.craigslist.org/sfc/apa/index500.html
 (west portal / forest hill),BEAUTIFUL 3BR/3BA IN FOREST HILLS - $5500,$5500,   / 3br - 1900ft² -    ,4035404540,,Sep  3 2013,/sfc/apa/4035404540.html,,   / 3br - 1900ft² -    ,http://sfbay.craigslist.org/sfc/apa/index400.html
 (nob hill),STUDIO with HARDWOOD and UPDATED Kitchen and Bath Avail Oct,$1750,      ,4044900639,-122.411084,Sep  3 2013,/sfc/apa/4044900639.html,37.790625,      ,http://sfbay.craigslist.org/sfc/apa/index400.html
 (lower haight),FUN LOC! HARDWOOD! REAR UNIT! PET OK! W&D IN BUILDG! EQUAL BEDRMS! DW,$3395,   / 2br -    ,4044899568,,Sep  3 2013,/sfc/apa/4044899568.html,,   / 2br -    ,http://sfbay.craigslist.org/sfc/apa/index400.html
 (cole valley / ashbury hts),"((> ""NO  OPEN  HOUSE""  &  ""No  Rentals""  at  132  GRATTAN  STREET <))",,     ,4032504060,,Sep  3 2013,/sfc/apa/4032504060.html,,     ,http://sfbay.craigslist.org/sfc/apa/index400.html
 (visitacion valley),Newly Remodeled Home For Rent ,$2800,   / 4br - 1904ft² -    ,4044889792,-122.407013,Sep  3 2013,/sfc/apa/4044889792.html,37.711190,   / 4br - 1904ft² -    ,http://sfbay.craigslist.org/sfc/apa/index400.html
 (marina / cow hollow),Marina Studio with Skyline Views,$2795,   / 500ft² -    ,4044853832,-122.441043,Sep  3 2013,/sfc/apa/4044853832.html,37.799531,   / 500ft² -    ,http://sfbay.craigslist.org/sfc/apa/index400.html
 (USF / panhandle),Super studio with fireplace and hardwood floors ,$1500,      ,4044857472,-122.441061,Sep  3 2013,/sfc/apa/4044857472.html,37.777380,      ,http://sfbay.craigslist.org/sfc/apa/index400.html
 (USF / panhandle),Ground Flr 1 BR with shared yard. GGPark/Alamo Sq-1426 Hayes/Broderick,$1700,   / 1br -    ,4044881439,-122.439902,Sep  3 2013,/sfc/apa/4044881439.html,37.774722,   / 1br -    ,http://sfbay.craigslist.org/sfc/apa/index400.html
 (SOMA / south beach),Furnished Junior 1 -Modern-Close to public Trans.Bart-Muni! Open House,$2484,   / 1br -    ,4035527956,,Sep  4 2013,/sfc/apa/4035527956.html,,   / 1br -    ,http://sfbay.craigslist.org/sfc/apa/index300.html
 (SOMA / south beach),Open House!!!Furnished & Unfurnished Apartments for rent!  Gym/Laundry,$2484,   / 1br -    ,4035524668,,Sep  4 2013,/sfc/apa/4035524668.html,,   / 1br -    ,http://sfbay.craigslist.org/sfc/apa/index300.html
 (SOMA / south beach), Furnished JR1. 1 BR- Modern Building-Gym/Laundry On-Site,$2484,      ,4029312322,,Sep  4 2013,/sfc/apa/4029312322.html,,      ,http://sfbay.craigslist.org/sfc/apa/index300.html
 (SOMA / south beach),Spacious & Amazing  City Views! Furnished Junioor 1 BR- Open House ,$2499,      ,3999088523,,Sep  4 2013,/sfc/apa/3999088523.html,,      ,http://sfbay.craigslist.org/sfc/apa/index300.html
 (downtown / civic / van ness),NEMA - Brand New Studio Apartments - Now Leasing!,$2666,   / 476ft² -    ,4045547628,-122.417182,Sep  4 2013,/sfc/apa/4045547628.html,37.776287,   / 476ft² -    ,http://sfbay.craigslist.org/sfc/apa/index300.html
 (west portal / forest hill),Stunning Forest Hills Home,$7250,   / 5br -    ,4001786630,,Sep  4 2013,/sfc/apa/4001786630.html,,   / 5br -    ,http://sfbay.craigslist.org/sfc/apa/index300.html
 (marina / cow hollow),"Elegant, Remodeled, 3 Bdr, 3 Ba Condo in Cow Hollow",$7400,   / 3br - 2200ft² -    ,4045596962,-122.439178,Sep  4 2013,/sfc/apa/4045596962.html,37.798642,   / 3br - 2200ft² -    ,http://sfbay.craigslist.org/sfc/apa/index300.html
 (excelsior / outer mission),"1.5 bedroom, Newly remodeled-GREAT VIEW..",$1849,   / 1br -    ,4044364628,-122.427336,Sep  3 2013,/sfc/apa/4044364628.html,37.716884,   / 1br -    ,http://sfbay.craigslist.org/sfc/apa/index600.html
 (sunset / parkside),Next to the Lake and Golf Course; Resort Style Living; Parking! ,$2909,   / 2br - 1015ft² -    ,4034464388,-122.493398,Sep  3 2013,/sfc/apa/4034464388.html,37.714652,   / 2br - 1015ft² -    ,http://sfbay.craigslist.org/sfc/apa/index600.html
