SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,NPOPCHG_2010,NPOPCHG_2011,NPOPCHG_2012,NPOPCHG_2013,NPOPCHG_2014,NPOPCHG_2015,NPOPCHG_2016,BIRTHS2010,BIRTHS2011,BIRTHS2012,BIRTHS2013,BIRTHS2014,BIRTHS2015,BIRTHS2016,DEATHS2010,DEATHS2011,DEATHS2012,DEATHS2013,DEATHS2014,DEATHS2015,DEATHS2016,NATURALINC2010,NATURALINC2011,NATURALINC2012,NATURALINC2013,NATURALINC2014,NATURALINC2015,NATURALINC2016,INTERNATIONALMIG2010,INTERNATIONALMIG2011,INTERNATIONALMIG2012,INTERNATIONALMIG2013,INTERNATIONALMIG2014,INTERNATIONALMIG2015,INTERNATIONALMIG2016,DOMESTICMIG2010,DOMESTICMIG2011,DOMESTICMIG2012,DOMESTICMIG2013,DOMESTICMIG2014,DOMESTICMIG2015,DOMESTICMIG2016,NETMIG2010,NETMIG2011,NETMIG2012,NETMIG2013,NETMIG2014,NETMIG2015,NETMIG2016,RESIDUAL2010,RESIDUAL2011,RESIDUAL2012,RESIDUAL2013,RESIDUAL2014,RESIDUAL2015,RESIDUAL2016,GQESTIMATESBASE2010,GQESTIMATES2010,GQESTIMATES2011,GQESTIMATES2012,GQESTIMATES2013,GQESTIMATES2014,GQESTIMATES2015,GQESTIMATES2016,RBIRTH2011,RBIRTH2012,RBIRTH2013,RBIRTH2014,RBIRTH2015,RBIRTH2016,RDEATH2011,RDEATH2012,RDEATH2013,RDEATH2014,RDEATH2015,RDEATH2016,RNATURALINC2011,RNATURALINC2012,RNATURALINC2013,RNATURALINC2014,RNATURALINC2015,RNATURALINC2016,RINTERNATIONALMIG2011,RINTERNATIONALMIG2012,RINTERNATIONALMIG2013,RINTERNATIONALMIG2014,RINTERNATIONALMIG2015,RINTERNATIONALMIG2016,RDOMESTICMIG2011,RDOMESTICMIG2012,RDOMESTICMIG2013,RDOMESTICMIG2014,RDOMESTICMIG2015,RDOMESTICMIG2016,RNETMIG2011,RNETMIG2012,RNETMIG2013,RNETMIG2014,RNETMIG2015,RNETMIG2016
050,3,6,01,019,Alabama,Cherokee County,25989,25986,25977,26073,26017,26074,25944,25726,25725,-9,96,-56,57,-130,-218,-1,55,221,245,233,251,200,208,110,310,334,340,347,329,331,-55,-89,-89,-107,-96,-129,-123,3,2,8,5,5,5,5,46,159,28,140,-17,-93,136,49,161,36,145,-12,-88,141,-3,24,-3,19,-22,-1,-19,290,290,290,290,290,290,290,290,8.4918347743,9.4067959301,8.945883166,9.6505055942,7.7414360364,8.0853627723,11.911623439,12.823958533,13.05407844,13.341535622,12.73466228,12.86661095,-3.419788665,-3.417162603,-4.108195274,-3.691030028,-4.993226243,-4.781248178,0.0768491835,0.3071606834,0.1919717418,0.1922411473,0.1935359009,0.194359682,6.1095100865,1.075062392,5.3752087693,-0.653619901,-3.599767757,5.2865833511,6.1863592699,1.3822230754,5.567180511,-0.461378754,-3.406231856,5.4809430332
050,3,6,01,021,Alabama,Chilton County,43643,43631,43675,43758,43693,43769,43874,43809,43941,44,83,-65,76,105,-65,132,124,565,565,537,600,524,540,142,474,495,499,485,442,483,-18,91,70,38,115,82,57,8,22,8,3,12,12,13,58,-53,-140,14,6,-149,63,66,-31,-132,17,18,-137,76,-4,23,-3,21,-28,-10,-1,393,393,393,393,393,393,393,393,12.924181945,12.921521766,12.279618577,13.691909223,11.952145798,12.307692308,10.842588039,11.320625264,11.410669777,11.067626622,10.081771837,11.008547009,2.0815939062,1.600896502,0.8689488006,2.624282601,1.8703739607,1.2991452991,0.5032424828,0.1829596002,0.0686012211,0.2738381845,0.2737132625,0.2962962963,-1.21235689,-3.201793004,0.3201390318,0.1369190922,-3.398606343,1.4358974359,-0.709114408,-3.018833404,0.3887402529,0.4107572767,-3.124893081,1.7321937322
050,3,6,01,023,Alabama,Choctaw County,13859,13858,13840,13610,13549,13384,13310,13201,12993,-18,-230,-61,-165,-74,-109,-208,29,114,109,138,142,144,139,21,160,145,194,177,171,170,8,-46,-36,-56,-35,-27,-31,1,-1,0,-1,-1,-1,-1,-24,-197,-20,-117,-26,-73,-174,-23,-198,-20,-118,-27,-74,-175,-3,14,-5,9,-12,-8,-2,129,129,129,129,129,129,129,129,8.306010929,8.0268051106,10.24765158,10.639094928,10.863415186,10.613117508,11.657559199,10.67786001,14.406118888,13.261407058,12.900305534,12.980071772,-3.35154827,-2.651054899,-4.158467308,-2.62231213,-2.036890347,-2.366954264,-0.072859745,0,-0.074258345,-0.074923204,-0.075440383,-0.076353363,-14.35336976,-1.472808277,-8.688226339,-1.948003297,-5.507147976,-13.28548523,-14.42622951,-1.472808277,-8.762484684,-2.0229265,-5.58258836,-13.36183859
050,3,6,01,025,Alabama,Clarke County,25833,25833,25762,25549,25148,25105,24862,24726,24392,-71,-213,-401,-43,-243,-136,-334,50,259,292,269,267,297,297,46,299,286,291,296,293,313,4,-40,6,-22,-29,4,-16,1,3,6,4,5,5,5,-81,-178,-424,-23,-210,-173,-326,-80,-175,-418,-19,-205,-168,-321,5,2,11,-2,-9,28,3,280,280,280,280,280,280,280,280,10.095301202,11.519419295,10.705828508,10.687053455,11.978704525,12.093326275,11.654421079,11.282718899,11.581398125,11.847819561,11.817375171,12.7448186,-1.559119877,0.2367003965,-0.875569618,-1.160766106,0.1613293539,-0.651492325,0.1169339908,0.2367003965,0.159194476,0.2001320872,0.2016616923,0.2035913514,-6.938083452,-16.72682802,-0.915368237,-8.405547661,-6.977494555,-13.27415611,-6.821149461,-16.49012762,-0.756173761,-8.205415574,-6.775832863,-13.07056476
050,3,6,01,027,Alabama,Clay County,13932,13932,13882,13676,13461,13464,13503,13495,13492,-50,-206,-215,3,39,-8,-3,27,152,147,121,149,142,136,39,211,183,172,171,197,202,-12,-59,-36,-51,-22,-55,-66,1,-1,-1,-2,-1,-1,-1,-35,-144,-181,62,62,38,43,-34,-145,-182,60,61,37,42,-4,-2,3,-6,0,10,21,255,255,255,255,255,255,255,255,11.031279483,10.833916793,8.9879294336,11.050543257,10.519297726,10.078926891,15.313157704,13.487120905,12.776230269,12.682167093,14.593673605,14.970170823,-4.28187822,-2.653204112,-3.788300836,-1.631623837,-4.07437588,-4.891243932,-0.072574207,-0.073700114,-0.148560817,-0.07416472,-0.074079561,-0.074109757,-10.45068583,-13.33972068,4.6053853296,4.5982126303,2.8150233351,3.1867195316,-10.52326003,-13.41342079,4.4568245125,4.5240479104,2.7409437736,3.1126097751
050,3,6,01,029,Alabama,Cleburne County,14972,14972,14975,14976,14928,15031,15076,14996,14924,3,1,-48,103,45,-80,-72,42,184,183,176,198,162,171,22,174,159,187,190,205,202,20,10,24,-11,8,-43,-31,0,0,-1,-1,-1,-1,-1,-9,-53,-73,109,48,-42,-51,-9,-53,-74,108,47,-43,-52,-8,44,2,6,-10,6,11,178,178,178,178,178,178,178,178,12.286735001,12.239165329,11.749390834,13.153087322,10.774142059,11.430481283,11.618977664,10.634028892,12.483727761,12.62164945,13.633945198,13.502673797,0.667757337,1.6051364366,-0.734336927,0.5314378716,-2.859803139,-2.072192513,0,-0.066880685,-0.066757902,-0.066429734,-0.06650705,-0.06684492,-3.539113886,-4.882289995,7.2766113689,3.1886272295,-2.793296089,-3.409090909,-3.539113886,-4.94917068,7.2098534664,3.1221974956,-2.859803139,-3.475935829
050,3,6,01,031,Alabama,Coffee County,49948,49948,50183,50484,51180,50729,50757,51063,51226,235,301,696,-451,28,306,163,168,679,623,617,617,597,602,77,508,492,519,467,528,537,91,171,131,98,150,69,65,47,87,197,107,107,122,84,99,50,358,-672,-207,107,33,146,137,555,-565,-100,229,117,-2,-7,10,16,-22,8,-19,600,600,600,600,600,600,600,600,13.490021556,12.256059175,12.108842202,12.159312615,11.726576311,11.770571616,10.092681812,9.6789423985,10.185557703,9.2032398557,10.371243371,10.49966272,3.3973397439,2.5771167768,1.9232844989,2.9560727588,1.3553329405,1.2709088954,1.7284710978,3.8755114888,2.0999126672,2.1086652346,2.3963857788,1.6424053417,0.9933741941,7.0428076802,-13.18823656,-4.079380407,2.1017481831,0.64523067,2.7218452919,10.918319169,-11.0883239,-1.970715173,4.4981339619,2.2876360117
050,3,6,01,033,Alabama,Colbert County,54428,54428,54521,54460,54493,54456,54427,54295,54216,93,-61,33,-37,-29,-132,-79,162,604,623,590,594,593,582,129,671,668,723,715,700,661,33,-67,-45,-133,-121,-107,-79,9,31,17,13,13,13,13,52,8,68,71,98,2,32,61,39,85,84,111,15,45,-1,-33,-7,12,-19,-40,-45,474,474,474,474,474,474,474,474,11.084500968,11.436123833,10.830755675,10.910794155,10.908555766,10.727023067,12.314073095,12.262168091,13.272265005,13.133363335,12.876878645,12.183096645,-1.229572127,-0.826044258,-2.44150933,-2.22256918,-1.968322879,-1.456073578,0.5689065066,0.312061164,0.2386437691,0.2387884243,0.239142032,0.2396070444,0.1468145824,1.248244656,1.3033621236,1.8000973522,0.0367910818,0.5898019556,0.715721089,1.5603058199,1.5420058927,2.0388857765,0.2759331138,0.829409
050,3,6,01,035,Alabama,Conecuh County,13228,13228,13209,13193,13007,12866,12621,12597,12395,-19,-16,-186,-141,-245,-24,-202,34,159,145,151,131,114,115,13,189,170,192,171,152,191,21,-30,-25,-41,-40,-38,-76,0,-1,1,1,2,2,2,-36,4,-163,-99,-202,11,-123,-36,3,-162,-98,-200,13,-121,-4,11,1,-2,-5,1,-5,45,45,45,45,45,45,45,45,12.04454208,11.06870229,11.672399799,10.279750461,9.0411610754,9.2029449424,14.31709719,12.977099237,14.841726897,13.418605564,12.054881434,15.284891165,-2.272555109,-1.908396947,-3.169327098,-3.138855103,-3.013720358,-6.081946223,-0.075751837,0.0763358779,0.0773006609,0.1569427551,0.158616861,0.1600512164,0.3030073479,-12.44274809,-7.652765431,-15.85121827,0.8723927353,-9.843149808,0.2272555109,-12.36641221,-7.57546477,-15.69427551,1.0310095963,-9.683098592
050,3,6,01,037,Alabama,Coosa County,11539,11758,11758,11369,11201,11058,10794,10687,10581,0,-389,-168,-143,-264,-107,-106,21,96,107,86,103,93,91,11,163,140,133,122,109,101,10,-67,-33,-47,-19,-16,-10,-1,-1,-3,-2,-2,0,0,-5,-369,-127,-54,-256,-77,-89,-6,-370,-130,-56,-258,-77,-89,-4,48,-5,-40,13,-14,-7,338,338,338,338,338,266,258,257,8.3019846932,9.4816127603,7.727211465,9.4270547318,8.6588147665,8.5574572127,14.096078177,12.405848471,11.950222382,11.166025993,10.148503329,9.4978371262,-5.794093484,-2.924235711,-4.223010917,-1.738971261,-1.489688562,-0.940379913,-0.086479007,-0.26583961,-0.179702592,-0.183049606,0,0,-31.91075366,-11.25387683,-4.85196999,-23.43034962,-7.169126205,-8.36938123,-31.99723267,-11.51971644,-5.031672582,-23.61339923,-7.169126205,-8.36938123
050,3,6,01,039,Alabama,Covington County,37765,37765,37801,38066,37842,37890,37795,37661,37458,36,265,-224,48,-95,-134,-203,102,463,412,476,426,460,440,92,489,479,518,492,542,520,10,-26,-67,-42,-66,-82,-80,0,7,2,2,2,2,2,27,256,-158,66,-11,-77,-110,27,263,-156,68,-9,-75,-108,-1,28,-1,22,-20,23,-15,575,575,575,575,575,575,575,575,12.205570274,10.855245824,12.570643849,11.257184383,12.192536047,11.714745936,12.890980268,12.620540654,13.679818307,13.001255202,14.365988126,13.844699743,-0.685409994,-1.765294831,-1.109174457,-1.74407082,-2.173452078,-2.129953807,0.1845334599,0.0526953681,0.0528178313,0.0528506309,0.0530110263,0.0532488452,6.7486522467,-4.162934078,1.7429884329,-0.29067847,-2.040924512,-2.928686484,6.9331857066,-4.11023871,1.7958062642,-0.237827839,-1.987913486,-2.875437639
050,3,6,01,041,Alabama,Crenshaw County,13906,13898,13857,13903,13920,13874,13898,13876,13913,-41,46,17,-46,24,-22,37,37,166,149,145,155,127,145,24,164,167,162,179,194,193,13,2,-18,-17,-24,-67,-48,9,13,9,9,11,11,10,-61,28,27,-44,44,41,65,-52,41,36,-35,55,52,75,-2,3,-1,6,-7,-7,10,132,132,132,132,132,132,132,132,11.959654179,10.710563203,10.433906599,11.162321763,9.1452437532,10.435783943,11.81556196,12.004456744,11.6571922,12.890681262,13.969899906,13.890388283,0.144092219,-1.293893541,-1.223285601,-1.728359499,-4.824656153,-3.45460434,0.9365994236,0.6469467707,0.6476217889,0.7921647703,0.7921077267,0.7197092375,2.0172910663,1.940840312,-3.166150968,3.1686590811,2.9524015266,4.6781100435,2.9538904899,2.5877870826,-2.518529179,3.9608238514,3.7445092533,5.397819281
050,3,6,01,043,Alabama,Cullman County,80406,80410,80476,80457,80351,80731,81167,81858,82471,66,-19,-106,380,436,691,613,249,995,925,952,1011,977,997,227,910,965,961,946,973,1009,22,85,-40,-9,65,4,-12,9,26,24,26,28,29,28,35,-122,-83,336,351,582,560,44,-96,-59,362,379,611,588,0,-8,-7,27,-8,76,37,1056,1056,1052,1050,1043,1032,989,990,12.365394295,11.504402766,11.820066798,12.489345143,11.985891734,12.134194208,11.309054078,12.001890453,11.931811127,11.686370431,11.936819506,12.280242684,1.0563402161,-0.497487687,-0.111744329,0.8029747125,0.0490722282,-0.146048476,0.3231158308,0.2984926123,0.3228169504,0.3458967992,0.3557736543,0.3407797772,-1.516158898,-1.032286951,4.1717882817,4.3360634474,7.140009201,6.8155955431,-1.193043068,-0.733794339,4.4946052321,4.6819602466,7.4957828554,7.1563753202
050,3,6,01,045,Alabama,Dale County,50251,50247,50360,50119,50296,49753,49389,49370,49226,113,-241,177,-543,-364,-19,-144,173,694,704,646,667,630,637,74,470,451,492,461,533,542,99,224,253,154,206,97,95,46,58,196,89,77,107,46,-23,-539,-270,-776,-641,-264,-274,23,-481,-74,-687,-564,-157,-228,-9,16,-2,-10,-6,41,-11,917,917,917,917,917,917,917,917,13.813831746,14.021809491,12.913672301,13.455447742,12.758330886,12.92141669,9.3551886464,8.9827217049,9.8351807614,9.2997922172,10.793952956,10.994360826,4.4586430996,5.0390877857,3.0784915391,4.1556555244,1.9643779301,1.9270558643,1.1544700883,3.9037992332,1.7791282272,1.5533275504,2.1668911188,0.9331007343,-10.72860996,-5.377682617,-15.51239892,-12.93094753,-5.346348181,-5.558034809,-9.57413987,-1.473883384,-13.7332707,-11.37761998,-3.179457062,-4.624934074
050,3,6,01,047,Alabama,Dallas County,43820,43820,43820,43207,42748,41950,41532,40893,40008,0,-613,-459,-798,-418,-639,-885,130,583,585,511,551,475,465,76,544,504,555,537,514,545,54,39,81,-44,14,-39,-80,3,-3,-2,-5,-5,-4,-3,-55,-672,-550,-754,-411,-623,-793,-52,-675,-552,-759,-416,-627,-796,-2,23,12,5,-16,27,-9,786,786,856,857,858,856,856,856,13.398140807,13.611773602,12.066400623,13.200450396,11.52562936,11.495531576,12.501867237,11.727066488,13.105386196,12.865048753,12.471944192,13.473257438,0.8962735703,1.8847071142,-1.038985572,0.3354016435,-0.946314832,-1.977725862,-0.068944121,-0.046535978,-0.118066542,-0.119786301,-0.097057931,-0.07416472,-15.44348306,-12.79739399,-17.80443458,-9.846433962,-15.11677282,-19.60420761,-15.51242718,-12.84392996,-17.92250112,-9.966220263,-15.21383076,-19.67837233
050,3,6,01,049,Alabama,DeKalb County,71109,71115,71143,71389,70961,70882,70947,70996,70900,28,246,-428,-79,65,49,-96,232,903,868,796,816,807,796,151,783,710,782,723,774,771,81,120,158,14,93,33,25,22,66,56,44,57,56,56,-69,35,-654,-124,-46,0,-150,-47,101,-598,-80,11,56,-94,-6,25,12,-13,-39,-40,-27,782,782,782,782,782,782,782,782,12.670838829,12.195293291,11.223676882,11.506814544,11.370761503,11.219484693,10.987006427,9.9754127151,11.02627553,10.195376122,10.905786125,10.867113943,1.6838324025,2.219880576,0.1974013522,1.3114384223,0.4649753774,0.3523707504,0.9261078214,0.7867931156,0.6204042498,0.8037848395,0.7890491254,0.7893104809,0.4911177841,-9.1886196,-1.748411977,-0.648668467,0,-2.114224502,1.4172256055,-8.401826484,-1.128007727,0.1551163725,0.7890491254,-1.324914022
